Testname: FB_Chlorophyll_384
Date: 1/24/2026  Time: 12:09:05 PM (UTC--6)
ID1: B12_transfer2  ID2: plate2_hour90  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:   254266
A02:   518238
A03:    11401
A04:    23456
A05:   372691
A06:   733967
A07:   241060
A08:   880867
A09:   194983
A10:   369806
A11:   353033
A12:   464076
A13:   432935
A14:   671289
A15:   264067
A16:   451595
A17:   338898
A18:   830616
A19:   228358
A20:   773652
A21:   463994
A22:   772148
A23:   359772
A24:   377065
B01:   352623
B02:   820623
B03:   486044
B04:  1008356
B05:   589432
B06:   852447
B07:   393005
B08:   853623
B09:   435287
B10:   825435
B11:   329602
B12:   800117
B13:   458690
B14:   843739
B15:   477733
B16:   500849
B17:   309193
B18:   907962
B19:   326185
B20:   814047
B21:   498347
B22:   576732
B23:   395561
B24:   321400
C01:   253896
C02:  1028000
C03:   507096
C04:   934824
C05:   383367
C06:   898898
C07:     5814
C08:     9662
C09:   374030
C10:   947236
C11:     5354
C12:    14306
C13:   221361
C14:   669457
C15:     3600
C16:     4827
C17:   303601
C18:   424282
C19:   323792
C20:   966115
C21:   280786
C22:   809208
C23:   502749
C24:   705328
D01:   408110
D02:   666928
D03:   265038
D04:   903505
D05:   396668
D06:   830889
D07:   324284
D08:   888523
D09:   374249
D10:   710742
D11:   454712
D12:   785217
D13:   362752
D14:   915057
D15:   331120
D16:   894251
D17:   293677
D18:   705041
D19:   337011
D20:   768403
D21:   282426
D22:   842071
D23:   348399
D24:   629240
E01:   230370
E02:  1020085
E03:   349848
E04:   718780
E05:    11670
E06:    50776
E07:   225626
E08:   387345
E09:   319787
E10:   948439
E11:   172535
E12:   445867
E13:   390380
E14:   827403
E15:   261839
E16:   631714
E17:   227226
E18:   737453
E19:   153126
E20:   241046
E21:   230876
E22:   848209
E23:     3485
E24:     5142
F01:   313526
F02:   998623
F03:   372062
F04:   554231
F05:   510733
F06:   863096
F07:   448232
F08:   857368
F09:   402656
F10:   951160
F11:   465033
F12:   688992
F13:   369396
F14:   906349
F15:   541354
F16:   955726
F17:   316834
F18:   778778
F19:   448314
F20:   955862
F21:   380401
F22:   909083
F23:   269152
F24:   777261
G01:     3461
G02:     5308
G03:   477364
G04:   913758
G05:   465074
G06:   792271
G07:   318912
G08:   782387
G09:   418527
G10:   443571
G11:   318844
G12:   790699
G13:   466632
G14:   538524
G15:   228374
G16:   574490
G17:     7182
G18:    15111
G19:   316301
G20:   428575
G21:   282987
G22:   682321
G23:     2698
G24:     3288
H01:   370927
H02:  1040112
H03:   250028
H04:   887894
H05:   346895
H06:   880334
H07:   343847
H08:   827718
H09:   414043
H10:   746694
H11:   398910
H12:   685465
H13:   475641
H14:   640900
H15:   287717
H16:   754787
H17:   446141
H18:   605467
H19:   290710
H20:   824450
H21:   273500
H22:   808251
H23:   371488
H24:   688022
I01:   159752
I02:   476666
I03:   247362
I04:   756810
I05:   361536
I06:   763960
I07:   117599
I08:   334687
I09:   134673
I10:   238736
I11:   356601
I12:   652411
I13:   124834
I14:   262741
I15:    91898
I16:   150830
I17:   347401
I18:   865174
I19:   243917
I20:   890929
I21:   289043
I22:   706135
I23:   202559
I24:   519741
J01:   303519
J02:   808757
J03:   287307
J04:   332856
J05:   357148
J06:   511799
J07:   344120
J08:   700503
J09:   366895
J10:   854867
J11:   513303
J12:   840390
J13:   293608
J14:   849822
J15:   435082
J16:   698616
J17:   289685
J18:   705424
J19:   521313
J20:   835031
J21:   299815
J22:   846186
J23:   477282
J24:   733133
K01:   359936
K02:   723961
K03:     4165
K04:     5810
K05:   360483
K06:   913006
K07:   297792
K08:   550130
K09:   253965
K10:   668979
K11:     3773
K12:     5892
K13:   253541
K14:   717016
K15:   161873
K16:   348918
K17:    70139
K18:   132166
K19:   256521
K20:   863479
K21:    15674
K22:    60935
K23:   459702
K24:   603799
L01:   463051
L02:   667257
L03:   317818
L04:   918775
L05:   331188
L06:   940511
L07:   334291
L08:   769182
L09:   405486
L10:   760009
L11:   298475
L12:   707693
L13:   248551
L14:   689963
L15:   260458
L16:   684126
L17:   484417
L18:   798573
L19:   328741
L20:   491813
L21:   343081
L22:   732163
L23:   341905
L24:   568011
M01:   459688
M02:   908864
M03:   317805
M04:   634544
M05:   185190
M06:   782073
M07:   254840
M08:   898133
M09:   273718
M10:   607053
M11:   240117
M12:   943149
M13:    29422
M14:   131495
M15:   238271
M16:   535558
M17:   293841
M18:   716374
M19:   314647
M20:   884558
M21:   295673
M22:   775907
M23:     5122
M24:     5938
N01:   383627
N02:   659123
N03:   280007
N04:   822291
N05:   351926
N06:   967250
N07:   243999
N08:   829454
N09:   406470
N10:   570184
N11:   220186
N12:   844669
N13:   279091
N14:  1073440
N15:   355056
N16:   826474
N17:   362247
N18:   918570
N19:   481027
N20:   845065
N21:   266254
N22:   967947
N23:   297545
N24:   592398
O01:   179714
O02:   497035
O03:   257136
O04:   555366
O05:   339691
O06:   598249
O07:   444869
O08:   912842
O09:   260144
O10:   323779
O11:    14159
O12:    61194
O13:    75057
O14:   195731
O15:   193173
O16:   441548
O17:    81241
O18:   128879
O19:    92195
O20:   215565
O21:   266610
O22:   598974
O23:   229249
O24:   493563
P01:    81723
P02:   561777
P03:   210274
P04:   540247
P05:   288701
P06:   802701
P07:   281223
P08:   624141
P09:   359198
P10:   567655
P11:   292515
P12:   733065
P13:   283137
P14:   831039
P15:   566972
