Testname: FB_Chlorophyll_384
Date: 1/23/2026  Time: 7:00:47 PM (UTC--6)
ID1: B12_transfer2  ID2: plate10_hour72  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:    43437
A02:   188944
A03:    77265
A04:   177726
A05:    77789
A06:   115296
A07:     4954
A08:     4209
A09:     4905
A10:     6190
A11:   202277
A12:   141468
A13:   273103
A14:   244901
A15:   134366
A16:   237660
A17:   170022
A18:   216596
A19:     3097
A20:     4445
A21:   148286
A22:   168244
A23:   195126
A24:   124739
B01:    72039
B02:   315071
B03:   221598
B04:   541272
B05:   210027
B06:   545687
B07:   244437
B08:   424036
B09:   243740
B10:   477787
B11:   222072
B12:   672752
B13:   332992
B14:   682061
B15:   316082
B16:   481410
B17:   259474
B18:   449312
B19:   267608
B20:   416928
B21:   392294
B22:   573164
B23:   262044
B24:   111536
C01:    17976
C02:    72347
C03:    83270
C04:   369533
C05:     7044
C06:    16252
C07:   215669
C08:   418035
C09:    41540
C10:   128771
C11:    73322
C12:   231272
C13:   243370
C14:   506864
C15:   247554
C16:   432142
C17:   246761
C18:   454616
C19:   184892
C20:   330614
C21:   147961
C22:   262673
C23:   248551
C24:   421603
D01:   203533
D02:   552030
D03:   208927
D04:   448683
D05:   237246
D06:   774513
D07:   251791
D08:   707447
D09:   236016
D10:   611250
D11:   295755
D12:   709908
D13:   261948
D14:   448205
D15:   323410
D16:   924106
D17:   354468
D18:   717590
D19:   279364
D20:   566152
D21:   278120
D22:   500234
D23:   276890
D24:   553630
E01:    30640
E02:   184167
E03:    58759
E04:   153101
E05:    10614
E06:    25309
E07:   164222
E08:   380127
E09:   220678
E10:   658726
E11:    78267
E12:   198103
E13:    86115
E14:   153884
E15:     6762
E16:    10177
E17:   217432
E18:   459743
E19:   139786
E20:   295960
E21:    97554
E22:   382465
E23:     6888
E24:    16292
F01:   310231
F02:   538141
F03:   277450
F04:   520397
F05:   239898
F06:   812093
F07:   250616
F08:   577348
F09:   269481
F10:   799557
F11:   253541
F12:   574162
F13:   306910
F14:   639151
F15:   292077
F16:   626724
F17:   257669
F18:   720037
F19:   274292
F20:   715417
F21:   282918
F22:   503515
F23:   301633
F24:   546467
G01:   138247
G02:   463352
G03:   284108
G04:   544348
G05:    94995
G06:   284996
G07:   243070
G08:   607805
G09:   242673
G10:   506208
G11:   201348
G12:   579548
G13:   244423
G14:   465402
G15:   260294
G16:   586698
G17:    17071
G18:    61965
G19:   201826
G20:   500699
G21:     4146
G22:    11928
G23:   142765
G24:   432266
H01:   385281
H02:   469900
H03:   250356
H04:   417242
H05:   307306
H06:   729798
H07:   310847
H08:   906513
H09:   308714
H10:   741130
H11:   332610
H12:   564566
H13:   293349
H14:   582898
H15:   357271
H16:   418363
H17:   334619
H18:   627285
H19:   306445
H20:   567341
H21:   251258
H22:   616813
H23:   236850
H24:   430953
I01:   292583
I02:   584347
I03:   312651
I04:   412307
I05:   117425
I06:   338269
I07:     9779
I08:    29567
I09:     7141
I10:    22015
I11:   379457
I12:   766666
I13:   325802
I14:   818025
I15:   379006
I16:   693777
I17:   302904
I18:   710865
I19:   171940
I20:   401234
I21:   259009
I22:   584032
I23:     5924
I24:    14671
J01:   315453
J02:   537882
J03:   229700
J04:   645425
J05:   293267
J06:   693531
J07:   282713
J08:   599780
J09:   291408
J10:   644373
J11:   440645
J12:   635993
J13:   372144
J14:   835277
J15:   409135
J16:   657195
J17:   339499
J18:   845981
J19:   303314
J20:   603977
J21:   366252
J22:   620163
J23:   289015
J24:   431404
K01:   245148
K02:   614175
K03:    12099
K04:    50948
K05:    49815
K06:   158783
K07:   345419
K08:   705041
K09:   220050
K10:   757480
K11:   398240
K12:   819980
K13:   283957
K14:   634257
K15:   236863
K16:   481779
K17:    87760
K18:   212049
K19:   256931
K20:   511225
K21:   225845
K22:   408507
K23:   325857
K24:   283629
L01:   356122
L02:   695075
L03:   290492
L04:   813063
L05:   240841
L06:   535448
L07:   282249
L08:   819447
L09:   256822
L10:   781512
L11:   372896
L12:   680790
L13:   449381
L14:   777220
L15:   307320
L16:   563951
L17:   250793
L18:   383887
L19:   302234
L20:   488505
L21:   315002
L22:   459989
L23:   309193
L24:   292501
M01:     3760
M02:     8686
M03:    65123
M04:   162486
M05:   208194
M06:   673586
M07:     3961
M08:    16501
M09:    19653
M10:    58216
M11:    62482
M12:   286158
M13:    60571
M14:   106413
M15:     4428
M16:    18397
M17:   101595
M18:   142601
M19:   333088
M20:   748868
M21:   315440
M22:   639055
M23:   240308
M24:   212421
N01:   238353
N02:   674297
N03:   308618
N04:   478949
N05:   252776
N06:   976081
N07:   350340
N08:   650374
N09:   304941
N10:   860827
N11:   239324
N12:   843384
N13:   246638
N14:   885693
N15:   316998
N16:   581093
N17:   275195
N18:   569624
N19:   395698
N20:   543104
N21:   288045
N22:   583609
N23:   274580
N24:   302016
O01:   214771
O02:   492237
O03:    97354
O04:   267006
O05:   447549
O06:   762388
O07:    96702
O08:   315426
O09:   266500
O10:   649007
O11:   247731
O12:   815660
O13:   281920
O14:   492237
O15:   275536
O16:   635296
O17:    31506
O18:    87450
O19:    79464
O20:   263302
O21:     8303
O22:    10608
O23:   479195
O24:   357776
P01:   151094
P02:   212953
P03:   319172
P04:   506987
P05:   276288
P06:   450461
P07:   403927
P08:   188330
P09:   290423
P10:   343313
P11:   468628
P12:   544197
P13:   324353
P14:   240172
P15:   267799
P16:   193913
P17:   313895
P18:   246063
P19:   257123
P20:   198860
P21:   267594
P22:   217028
P23:   187612
P24:   196653

