Testname: FB_Chlorophyll_384
Date: 1/26/2026  Time: 3:53:06 PM (UTC--6)
ID1: B12_transfer3  ID2: plate6_hour70  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:   209291
A02:   503651
A03:     7238
A04:    24733
A05:     4719
A06:     5598
A07:   410844
A08:   316397
A09:   517581
A10:   466837
A11:     6069
A12:    25489
A13:     4811
A14:    12038
A15:     4375
A16:     5577
A17:     7959
A18:    21177
A19:    43115
A20:   110132
A21:     5611
A22:     7809
A23:     3879
A24:    12394
B01:   362397
B02:   730276
B03:   450119
B04:   791943
B05:   437009
B06:   763413
B07:   443543
B08:   655022
B09:   460125
B10:   734336
B11:   409942
B12:   788689
B13:   387140
B14:   751533
B15:   440960
B16:   766543
B17:   435943
B18:   594722
B19:   345883
B20:   740912
B21:   400209
B22:   669663
B23:   399525
B24:   648979
C01:     3481
C02:     3359
C03:     4527
C04:     6586
C05:   421370
C06:   738273
C07:     7215
C08:    12728
C09:    10833
C10:    27912
C11:    14130
C12:    34368
C13:   119575
C14:   325651
C15:     4222
C16:    11700
C17:   201270
C18:   449777
C19:   310136
C20:   466058
C21:    12241
C22:    37863
C23:    32495
C24:    56489
D01:   412116
D02:   693326
D03:   396518
D04:   661378
D05:   413879
D06:   801375
D07:   454261
D08:   690127
D09:   321318
D10:   706353
D11:   424077
D12:   685739
D13:   460454
D14:   792353
D15:   425471
D16:   608816
D17:   440973
D18:   849016
D19:   434343
D20:   808525
D21:   461451
D22:   666409
D23:   468369
D24:   746858
E01:    65473
E02:   218258
E03:     3585
E04:     3422
E05:   375657
E06:   777548
E07:     6024
E08:     8842
E09:   360675
E10:   766434
E11:   382684
E12:   681187
E13:   452197
E14:   634024
E15:     5007
E16:    11336
E17:   378911
E18:   708472
E19:   425882
E20:   723291
E21:     5603
E22:     3775
E23:   330860
E24:   479742
F01:   315645
F02:   767049
F03:   432908
F04:   781909
F05:   461438
F06:   761827
F07:   404761
F08:   709662
F09:   454015
F10:   826515
F11:   458471
F12:   742908
F13:   406333
F14:   806460
F15:   394235
F16:   727214
F17:   532673
F18:   717126
F19:   446606
F20:   751834
F21:   427604
F22:   779093
F23:   447986
F24:   755553
G01:   254307
G02:   672123
G03:   240144
G04:   431500
G05:   136182
G06:   259488
G07:     4952
G08:    13156
G09:   429449
G10:   739859
G11:     6259
G12:    13922
G13:     5182
G14:     7188
G15:    32910
G16:   100617
G17:     2887
G18:     3197
G19:   466961
G20:   824861
G21:   298284
G22:   558018
G23:   179601
G24:   332965
H01:   470692
H02:   679874
H03:   382711
H04:   761663
H05:   389232
H06:   689594
H07:   491635
H08:   561449
H09:   489024
H10:   701309
H11:   489571
H12:   721008
H13:   440099
H14:   805927
H15:   470993
H16:   692328
H17:   443338
H18:   735362
H19:   503009
H20:   720543
H21:   428821
H22:   502243
H23:   496269
H24:   419525
I01:   227663
I02:   409368
I03:   220350
I04:   476789
I05:   340101
I06:   577539
I07:   370066
I08:   690592
I09:     1834
I10:     6865
I11:     5735
I12:    12429
I13:     4906
I14:     7803
I15:    17014
I16:    30470
I17:    15508
I18:    51872
I19:   428506
I20:   779270
I21:     4036
I22:     8037
I23:   430188
I24:   557963
J01:   455040
J02:   718739
J03:   453318
J04:   690838
J05:   352486
J06:   805968
J07:   395000
J08:   690592
J09:   500070
J10:   801484
J11:   460864
J12:   769127
J13:   500507
J14:   703086
J15:   417556
J16:   734336
J17:   470556
J18:   771547
