Testname: FB_Chlorophyll_384
Date: 1/23/2026  Time: 7:05:44 PM (UTC--6)
ID1: B12_transfer2  ID2: plate12_hour72  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:    34983
A02:    98882
A03:    34090
A04:    52254
A05:   210691
A06:   239474
A07:   122744
A08:   241211
A09:     3838
A10:     3985
A11:    15207
A12:    93104
A13:     8296
A14:    18356
A15:    12131
A16:    32045
A17:    24651
A18:    55606
A19:    34479
A20:    51937
A21:    29859
A22:    70702
A23:    11440
A24:    14520
B01:   192000
B02:   479783
B03:   283069
B04:   596281
B05:   286650
B06:   426879
B07:   264094
B08:   676320
B09:   282221
B10:   326827
B11:   279063
B12:   538633
B13:   283629
B14:   393962
B15:   325364
B16:   471663
B17:   296397
B18:   417420
B19:   202324
B20:   521915
B21:   262850
B22:   389136
B23:   243849
B24:   293294
C01:    16898
C02:    56092
C03:    20505
C04:    51890
C05:   189347
C06:   375766
C07:    57289
C08:   102995
C09:    11129
C10:    53663
C11:    18583
C12:    38861
C13:   185994
C14:   394631
C15:    19937
C16:    71550
C17:    34926
C18:    75040
C19:    36084
C20:    82794
C21:    26059
C22:    87241
C23:     5544
C24:     9710
D01:   328960
D02:   540424
D03:   302193
D04:   421138
D05:   278776
D06:   415478
D07:   293376
D08:   484732
D09:   164251
D10:   338789
D11:   163856
D12:   323833
D13:   298420
D14:   523569
D15:   314469
D16:   518251
D17:   283766
D18:   623225
D19:   255277
D20:   475655
D21:   289685
D22:   567396
D23:   307702
D24:   477828
E01:    46121
E02:   135835
E03:    14624
E04:    55711
E05:   308523
E06:   422068
E07:    16526
E08:    57435
E09:   280389
E10:   505128
E11:   312583
E12:   568927
E13:   290820
E14:   460905
E15:    15099
E16:    47221
E17:   301606
E18:   432197
E19:   274949
E20:   518634
E21:     6630
E22:    46577
E23:    40351
E24:   103928
F01:   281510
F02:   777903
F03:   330340
F04:   849645
F05:   307019
F06:   826679
F07:   267457
F08:   562570
F09:   319322
F10:   578496
F11:   315713
F12:   783864
F13:   288947
F14:   740133
F15:   308782
F16:   703565
F17:   308919
F18:   459989
F19:   293075
F20:   475012
F21:   251395
F22:   685260
F23:   291408
F24:   414604
G01:   305132
G02:   486810
G03:   164746
G04:   347551
G05:   119529
G06:   305091
G07:    89350
G08:   213182
G09:   274607
G10:   527164
G11:    17109
G12:    35145
G13:    22603
G14:    45452
G15:    20366
G16:    49186
G17:    10245
G18:    35518
G19:   298379
G20:   751998
G21:   252406
G22:   474301
G23:    27045
G24:    36010
H01:   359704
H02:   697495
H03:   296753
H04:   448465
H05:   290341
H06:   454411
H07:   325064
H08:   830889
H09:   303752
H10:   811559
H11:   377585
H12:   630183
H13:   329971
H14:   531211
H15:   340743
H16:   707269
H17:   298858
H18:   754035
H19:   310860
H20:   568886
H21:   272187
H22:   451718
H23:   287265
H24:   404542
I01:   293540
I02:   439005
I03:   242372
I04:   432047
I05:     3150
I06:     7704
I07:   135323
I08:   421821
I09:    10132
I10:    30038
I11:    10176
I12:    42852
I13:     7722
I14:    28202
I15:    27687
I16:    43580
I17:    24425
I18:    41158
I19:   348358
I20:   559330
I21:    14081
I22:    46295
I23:   267703
I24:   473290
J01:   431322
J02:   528586
J03:   308017
J04:   607367
J05:   299282
J06:   889630
J07:   299391
J08:   748909
J09:   283000
J10:   762265
J11:   314866
J12:   809509
J13:   360319
J14:   810370
J15:   275058
J16:   507780
J17:   260157
J18:   543897
J19:   254074
J20:   364557
J21:   315303
J22:   661788
J23:   307826
J24:   461629
K01:   438909
K02:   852789
K03:   370298
K04:   557157
K05:    34236
K06:    62863
K07:   324517
K08:   814157
K09:   166177
K10:   481328
K11:   191144
K12:   293868
K13:   336246
K14:   601735
K15:   292884
K16:   578605
K17:     8454
K18:    25585
K19:    36585
K20:    71784
K21:    11442
K22:    40812
K23:   322740
K24:   536706
L01:   360169
L02:   757070
L03:   343847
L04:   871913
L05:   342767
L06:   713626
L07:   424405
L08:   821361
L09:   253541
L10:   588885
L11:   353211
L12:   714679
L13:   326062
L14:   812626
L15:   286350
L16:   789113
L17:   248606
L18:   675281
L19:   327811
L20:   677345
L21:   326813
L22:   554149
L23:   292611
L24:   320238
M01:   141457
M02:   419593
M03:   290779
M04:   617306
M05:   345173
M06:   619383
M07:   418322
M08:   598605
M09:   325870
M10:   522065
M11:   236576
M12:   583650
M13:    18786
M14:    66154
M15:    39461
M16:    85904
M17:     3071
M18:     3078
M19:   299145
M20:   492551
M21:   283616
M22:   505169
M23:   252092
M24:   381836
N01:   375917
N02:   731630
N03:   329794
N04:   763604
N05:   333895
N06:   685110
N07:   343669
N08:   737631
N09:   290820
N10:   703537
N11:   216213
N12:   579425
N13:   278147
N14:   704399
N15:   298434
N16:   659601
N17:   234444
N18:   736209
N19:   295071
N20:   898352
N21:   296616
N22:   528340
N23:   313731
N24:   366334
O01:    16444
O02:    82683
