Testname: FB_Chlorophyll_384
Date: 1/24/2026  Time: 12:17:22 PM (UTC--6)
ID1: B12_transfer2  ID2: plate4_hour90  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:    97326
A02:   859569
A03:   467371
A04:   570827
A05:   198577
A06:   569173
A07:     2620
A08:     5077
A09:     3837
A10:     7950
A11:   406894
A12:   829768
A13:   394399
A14:   734118
A15:   297969
A16:   622295
A17:   222605
A18:   690564
A19:    23541
A20:    41523
A21:   683059
A22:   531224
A23:   278653
A24:   303178
B01:   289712
B02:   867348
B03:   571374
B04:   845680
B05:   390120
B06:   678822
B07:   554614
B08:   632042
B09:   438677
B10:   870191
B11:   561408
B12:   853855
B13:   482627
B14:   770740
B15:   542406
B16:   942712
B17:   559959
B18:   781840
B19:   409614
B20:   887949
B21:   517226
B22:   836740
B23:   679396
B24:   681310
C01:    65407
C02:   218281
C03:    44532
C04:   173874
C05:     3079
C06:     7707
C07:   401220
C08:   915836
C09:    22431
C10:    67823
C11:    12321
C12:    30803
C13:   332897
C14:   358282
C15:   455245
C16:   685670
C17:   430092
C18:   843985
C19:   271271
C20:   583526
C21:    20423
C22:    46766
C23:   343491
C24:   580355
D01:   334510
D02:   710359
D03:   510787
D04:   682239
D05:   522106
D06:   846555
D07:   540165
D08:   779899
D09:   338679
D10:   824150
D11:   413045
D12:   694665
D13:   359444
D14:   778560
D15:   469585
D16:   816522
D17:   544785
D18:   895768
D19:   393798
D20:   836193
D21:   440891
D22:   766448
D23:   504144
D24:   727433
E01:   262440
E02:   457514
E03:    13472
E04:    38626
E05:     7756
E06:    15141
E07:     9519
E08:    21658
E09:   394180
E10:   582228
E11:    30125
E12:    64057
E13:    62179
E14:   150547
E15:     5164
E16:     7568
E17:   455272
E18:   681979
E19:   223959
E20:   404173
E21:   101200
E22:   252666
E23:     4718
E24:    18751
F01:   513576
F02:   874114
F03:   427276
F04:   923423
F05:   558073
F06:   790589
F07:   541819
F08:   811505
F09:   515175
F10:   861702
F11:   490788
F12:   852174
F13:   543541
F14:   837027
F15:   509188
F16:   926417
F17:   518935
F18:   875536
F19:   479168
F20:  1022874
F21:   437993
F22:   960100
F23:   418992
F24:   604251
G01:   284135
G02:   659301
G03:   582050
G04:   849563
G05:     6629
G06:     9992
G07:   500412
G08:   849795
G09:   340279
G10:   526932
G11:   289371
G12:   517308
G13:   263985
G14:   504950
G15:   417570
G16:   801307
G17:    12621
G18:    65093
G19:   402246
G20:   731384
G21:   225298
G22:   499400
G23:   359718
G24:   593314
H01:   418828
H02:   966074
H03:   531580
H04:   803330
H05:   540151
H06:   800199
H07:   429012
H08:   855099
H09:   574367
H10:   799543
H11:   560574
H12:   841757
H13:   609664
H14:   820883
H15:   459442
H16:   701145
H17:   417269
H18:   764438
H19:   478826
H20:   703250
H21:   473973
H22:   904038
H23:   459264
H24:   527000
I01:   413414
I02:  1013523
I03:   446195
I04:   814663
I05:   186876
I06:   446072
I07:   468792
I08:   885693
I09:     5465
I10:     8969
I11:   673654
I12:   808634
I13:   423216
I14:   764684
I15:   456079
I16:   703647
I17:   401480
I18:   731220
I19:    80111
I20:   248784
I21:   337791
