Testname: FB_Chlorophyll_384
Date: 1/26/2026  Time: 4:15:37 PM (UTC--6)
ID1: B12_transfer3  ID2: plate12_hour70  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:    13932
A02:    49095
A03:     5097
A04:     8949
A05:   273363
A06:   220090
A07:    24988
A08:    87531
A09:   215893
A10:   232079
A11:    15501
A12:    73765
A13:     5279
A14:    10648
A15:     5718
A16:    13446
A17:     5846
A18:    13070
A19:    22049
A20:    47361
A21:    19359
A22:    39240
A23:     5542
A24:     9458
B01:   419224
B02:   658849
B03:   380319
B04:   564525
B05:   411432
B06:   767746
B07:   394290
B08:   588844
B09:   281128
B10:   614189
B11:   341167
B12:   765231
B13:   389614
B14:   499632
B15:   391706
B16:   564990
B17:   319691
B18:   626724
B19:   285393
B20:   484103
B21:   269098
B22:   498306
B23:   209910
B24:   106826
C01:     9506
C02:    28680
C03:    14581
C04:    50217
C05:   222469
C06:   332541
C07:    44828
C08:   142586
C09:    18834
C10:    37297
C11:    15801
C12:    25578
C13:   222318
C14:   384447
C15:    29928
C16:    57288
C17:     4447
C18:    15307
C19:    33047
C20:    83352
C21:    10060
C22:    21789
C23:     7619
C24:    13891
D01:   409505
D02:   565031
D03:   379047
D04:   882576
D05:   428793
D06:   420345
D07:   415547
D08:   647913
D09:   148408
D10:   352486
D11:   280512
D12:   768416
D13:   316028
D14:   585755
D15:   351310
D16:   866254
D17:   293034
D18:   846528
D19:   298530
D20:   512892
D21:   296944
D22:   601845
D23:   336902
D24:   548982
E01:    26418
E02:   164022
E03:    34444
E04:   132350
E05:   325405
E06:   450543
E07:    11205
E08:    19567
E09:   361413
E10:   757193
E11:   351789
E12:   903013
E13:   295591
E14:   930012
E15:    12992
E16:    42039
E17:   282536
E18:   883793
E19:   258435
E20:   643935
E21:     6813
E22:    23320
E23:    16703
E24:    37261
F01:   406524
F02:   723892
F03:   304080
F04:   779462
F05:   410817
F06:   648583
F07:   267471
F08:   383299
F09:   326349
F10:   545154
F11:   294237
F12:   335453
F13:   355001
F14:   911051
F15:   303383
F16:   651618
F17:   267826
F18:   343833
F19:   283889
F20:   526426
F21:   332076
F22:   313389
F23:   292570
F24:   523118
G01:   323369
G02:   742812
G03:    84621
G04:   252981
G05:   133015
G06:   279596
G07:    59971
G08:   123654
G09:   361303
G10:   549597
G11:    10744
G12:    24510
G13:    16770
G14:    54392
G15:     7863
G16:    25736
