Testname: FB_Chlorophyll_384
Date: 1/27/2026  Time: 3:05:46 PM (UTC--6)
ID1: B12_transfer3  ID2: plate8_hour92  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:   177386
A02:   611851
A03:     4467
A04:    14204
A05:   287457
A06:   652834
A07:   342165
A08:   628160
A09:   195469
A10:   650675
A11:   274593
A12:   367250
A13:   245462
A14:   505415
A15:   268865
A16:   387619
A17:   559317
A18:   453058
A19:    62011
A20:   128866
A21:   258517
A22:   882385
A23:   280868
A24:   375739
B01:   215661
B02:   800992
B03:   366006
B04:   805763
B05:   601434
B06:   573602
B07:   452757
B08:   629568
B09:   364010
B10:   783864
B11:   262673
B12:   599644
B13:   433072
B14:   811204
B15:   382561
B16:   909671
B17:   424802
B18:   651714
B19:   356751
B20:   774773
B21:   300567
B22:   742251
B23:   303014
B24:   418199
C01:   245462
C02:   394795
C03:   529775
C04:   342575
C05:   341400
C06:   716633
C07:     6166
C08:    12173
C09:   270574
C10:   775292
C11:     3650
C12:     5616
C13:   327059
C14:   863602
C15:     3844
C16:     1965
C17:   321304
C18:   946936
C19:   329055
C20:   899432
C21:   295973
C22:   429791
C23:   363545
C24:   413688
D01:   382506
D02:   712997
D03:   629158
D04:   843985
D05:   335098
D06:   563021
D07:   312501
D08:   661214
D09:   284996
D10:   968412
D11:   384529
D12:   699108
D13:   323697
D14:   669963
D15:   354291
D16:   686204
D17:   344407
D18:   777097
D19:   438622
D20:   744849
D21:   299678
D22:   879801
D23:   352308
D24:   593820
E01:   538962
E02:   961057
E03:   312364
E04:   993045
E05:     2438
E06:     3951
E07:     3745
E08:     2730
E09:   295577
E10:   546795
E11:   153494
E12:   312747
E13:   314729
E14:   776099
E15:   398268
E16:   664071
E17:   230179
E18:   529461
E19:     3372
E20:     3494
E21:   238613
E22:   618632
E23:     2305
E24:    10942
F01:   323054
F02:   814293
F03:   332364
F04:   942889
F05:   302111
F06:   782688
F07:   299241
F08:   569884
F09:   302576
F10:   403982
F11:   335918
F12:   568106
F13:   303014
F14:   887320
F15:   239324
F16:   663525
F17:   308154
F18:   863616
F19:   335303
F20:   853814
F21:   250479
F22:   889370
F23:   393757
F24:   439579
G01:     4873
G02:     4747
G03:   314428
G04:   528066
G05:    87041
G06:   133295
G07:   279815
G08:   968808
G09:   290382
G10:   641434
G11:   307730
G12:   856589
G13:   272242
G14:   589787
G15:   306089
G16:   768594
G17:    40849
G18:   107830
G19:   354660
G20:   595406
G21:   243193
G22:   602487
G23:     5713
G24:    14022
H01:   283342
H02:   752846
H03:   305050
H04:   914770
H05:   406114
H06:   765368
H07:   426756
H08:   555120
H09:   330258
H10:   979238
H11:   317313
H12:   395383
H13:   302850
H14:   612248
H15:   288345
H16:   951064
H17:   336642
H18:   935494
H19:   432471
H20:   775388
H21:   266897
H22:   948029
H23:   372909
H24:   803781
I01:   388890
I02:   291613
I03:   324681
I04:   939964
I05:   340579
