Testname: FB_Chlorophyll_384
Date: 1/24/2026  Time: 12:12:06 PM (UTC--6)
ID1: B12_transfer2  ID2: plate3_hour90  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:     3976
A02:     2520
A03:     2279
A04:     2834
A05:     2548
A06:     3165
A07:     3334
A08:     2506
A09:     3244
A10:     2299
A11:     3266
A12:     3266
A13:     4476
A14:     7406
A15:     3392
A16:     2971
A17:     2341
A18:     2043
A19:     3367
A20:     2203
A21:     2385
A22:     6077
A23:     3695
A24:     1876
B01:     3112
B02:     1873
B03:     2492
B04:     2153
B05:     2906
B06:     2995
B07:     2839
B08:     1759
B09:     2900
B10:     2203
B11:     2953
B12:     2657
B13:   363737
B14:   668583
B15:     3156
B16:     2093
B17:     3561
B18:     2546
B19:     1959
B20:     3240
B21:     3693
B22:     4012
B23:     2401
B24:     3332
C01:     2897
C02:     2901
C03:     3801
C04:     1857
C05:     2634
C06:     2021
C07:     2313
C08:     3145
C09:     2966
C10:     3531
C11:     6852
C12:    20439
C13:     2582
C14:     1988
C15:     3073
C16:     2893
C17:     6438
C18:    11030
C19:     2446
C20:     3755
C21:     6244
C22:    10749
C23:     3097
C24:     2989
D01:   820117
D02:   358118
D03:     1922
D04:     2848
D05:     2013
D06:     1576
D07:    41238
D08:   156767
D09:     3402
D10:     2081
D11:   114099
D12:   175870
D13:     3682
D14:     2167
D15:     6867
D16:     8989
D17:     5320
D18:     5238
D19:     1713
D20:     2399
D21:   227226
D22:   577129
D23:     3099
D24:     2972
E01:     2488
E02:     1899
E03:     2974
E04:     3517
E05:     1982
E06:     2316
E07:     2595
E08:     2296
E09:     2067
E10:     2530
E11:     3072
E12:     1907
E13:     2858
E14:     2357
E15:     2164
E16:     3239
E17:     2398
E18:     1973
E19:     2024
E20:     1924
E21:     4501
E22:     5373
E23:     2675
E24:     2617
F01:     4818
F02:    10714
F03:   156381
F04:   331338
F05:     2432
F06:     1830
F07:    50624
F08:   108109
F09:     2957
F10:     2302
F11:     2137
F12:     1902
F13:     2433
F14:     2820
F15:     1846
F16:     1789
F17:     2715
F18:     2812
F19:     2014
F20:     3057
F21:   286555
F22:   537061
F23:     1984
F24:     1602
G01:     3746
G02:     7685
G03:     3645
G04:     2382
G05:     2418
G06:     1965
G07:     2122
G08:     3039
G09:     2625
G10:     2420
G11:     3013
G12:     3628
G13:     2790
G14:     3222
G15:     2536
G16:     3032
G17:     2099
G18:     2502
G19:     2055
G20:     2717
G21:     2641
G22:     1835
G23:     2819
G24:     1998
H01:     2613
H02:     4776
H03:     2608
H04:     1656
H05:     3825
H06:     7953
H07:     2346
H08:     2186
H09:     3141
H10:     2715
H11:     1837
H12:     2929
H13:     2295
H14:     2349
H15:     2582
H16:     2456
H17:   156842
H18:   391870
H19:     2954
H20:     3282
H21:     2457
H22:     2509
H23:     4384
H24:     1814
I01:     2181
I02:     2697
I03:     2353
I04:     2180
I05:     3702
