"strain_id","box_name","tube_position","array_plate","array_well","growth_medium","stored_adjusted_od600","environmental_sample_id","sample_location","date_collected","latitude_collected","longitude_collected","isolation_description","broad_environment","ENVO"
"JW70608","V2_kuehnlab_strainbank_active3","A2","sequenced_strainbank_array2","F8","TSB_variant_b_0.1x",0.625,"CE73","","2022-09-08",46.779637,-117.086172,"soil6_perturbedpH7.32_isolationpH7","soil","ENVO:00001998"
"fb18","V2_kuehnlab_strainbank_active3","A3","sequenced_strainbank_array2","F9","TSB_variant_b_0.1x",0.572,"CL_BO","","2024-08-20",34.69389,-120.047396,"TSB_10%_pH8","soil","ENVO:00001998"
"HTM13","V2_kuehnlab_strainbank_active3","A4","sequenced_strainbank_array2","F10","TSB_variant_b_0.1x",0.443,"M1","Washington Park","2024-06-13",41.7928928,-87.608567,"Taken from Washington Park, near the DuSable.  Removed 1-2 centimeters below the surface. There was a lot of garbage in the area. APII was obtained from grinding API.","soil","ENVO:00001998"
"sib0404","V2_kuehnlab_strainbank_active3","A5","sequenced_strainbank_array2","F11","TSB_variant_b_0.1x",0.609,"sib04","Agricultural (corn field)","2018-10-18",40.057,-88.232,"Incubated at room temperature for 1 day","soil","ENVO:00001998"
"HTM12","V2_kuehnlab_strainbank_active3","A6","sequenced_strainbank_array2","F12","TSB_variant_b_0.1x",1.2,"M1","Washington Park","2024-06-13",41.7928928,-87.608567,"Taken from Washington Park, near the DuSable.  Removed 1-2 centimeters below the surface. There was a lot of garbage in the area. APII was obtained from grinding API.","soil","ENVO:00001998"
"OTU530","V2_kuehnlab_strainbank_active3","A7","sequenced_strainbank_array2","G1","TSB_variant_b_0.1x",0.72,"OTU53","Meadowbrook Park, Urbana, IL","",40.078583,-88.206194,"","soil","ENVO:00001998"
"HTWP8","V2_kuehnlab_strainbank_active3","A8","sequenced_strainbank_array2","G2","TSB_variant_b_0.1x",0.523,"APII","Washington Park","2024-06-13",41.7928928,-87.608567,"Taken from Washington Park, near the DuSable.  Removed 1-2 centimeters below the surface. There was a lot of garbage in the area. APII was obtained from grinding API.","soil","ENVO:00001998"
"fb58","V2_kuehnlab_strainbank_active3","A9","sequenced_strainbank_array2","G3","TSB_variant_b_0.1x",0.397,"Ambler_240827_1","","2024-08-27",41.7286490193842,-86.8171422343932,"TSB_10%_pH6","soil","ENVO:00001998"
"JFK4","V2_kuehnlab_strainbank_active3","B1","sequenced_strainbank_array2","G4","TSB_variant_b_0.1x",1.098,"","","",41.761921,-87.838646,"","soil","ENVO:00001998"
"HMWF029","V2_kuehnlab_strainbank_active3","B2","sequenced_strainbank_array2","G5","TSB_variant_b_0.1x",0.482,"HMWF0","USA: Michigan, Powell Township, Upper Pine Lake","2012-07",46.8692,-87.9063,"","freshwater","ENVO:00000021"
"JW81711","V2_kuehnlab_strainbank_active3","B3","sequenced_strainbank_array2","G6","TSB_variant_b_0.1x",0.23,"Neutral3","","2022-09-11",46.781194,-117.084732,"soil17_perturbedpH8.45_isolationpH8","soil","ENVO:00001998"
"BFD1a11","V2_kuehnlab_strainbank_active3","B4","sequenced_strainbank_array2","G7","TSB_variant_b_0.1x",1.241,"Soil 1","Bedford 1","2022-10-05",41.761921,-87.838646,"","soil","ENVO:00001998"
"JW70607","V2_kuehnlab_strainbank_active3","B5","sequenced_strainbank_array2","G8","TSB_variant_b_0.1x",0.236,"CE73","","2022-09-08",46.779637,-117.086172,"soil6_perturbedpH7.32_isolationpH7","soil","ENVO:00001998"
"HMWF019","V2_kuehnlab_strainbank_active3","B6","sequenced_strainbank_array2","G9","TSB_variant_b_0.1x",0.706,"HMWF0","USA: Michigan, Powell Township, Upper Pine Lake","2012-07",46.8334,-87.9224,"","freshwater","ENVO:00000021"
"fb77","V2_kuehnlab_strainbank_active3","B7","sequenced_strainbank_array2","G10","TSB_variant_b_0.1x",0.472,"CL_G","","2024-08-20",34.694085,-120.047385,"TSB_10%_pH5","soil","ENVO:00001998"
"fb37","V2_kuehnlab_strainbank_active3","B8","sequenced_strainbank_array2","G11","TSB_variant_b_0.1x",0.123,"EL_BO","","2024-08-21",34.716584,-120.060467,"TSB_10%_pH7","soil","ENVO:00001998"
"sic0303","V2_kuehnlab_strainbank_active3","B9","sequenced_strainbank_array2","G12","TSB_variant_b_0.1x",1.194,"sic03","Forest (Busey Woods)","2018-10-18",40.127,-88.209,"Incubated at room temperature for 1 day","soil","ENVO:00001998"
"JW50602","V2_kuehnlab_strainbank_active3","C1","sequenced_strainbank_array2","H1","TSB_variant_b_0.1x",0.598,"CE73","","2022-09-08",46.779637,-117.086172,"soil6_perturbedpH4.25_isolationpH5","soil","ENVO:00001998"
"fb20","V2_kuehnlab_strainbank_active3","C2","sequenced_strainbank_array2","H2","TSB_variant_b_0.1x",0.517,"CL_G","","2024-08-20",34.694085,-120.047385,"TSB_10%_pH8","soil","ENVO:00001998"
"HMWF003","V2_kuehnlab_strainbank_active3","C3","sequenced_strainbank_array2","H3","TSB_variant_b_0.1x",0.654,"HMWF0","USA: Michigan, Powell Township, Upper Pine Lake","2012-07",46.8715,-87.922,"","freshwater","ENVO:00000021"
"JW50603","V2_kuehnlab_strainbank_active3","C4","sequenced_strainbank_array2","H4","TSB_variant_b_0.1x",0.42,"CE73","","2022-09-08",46.779637,-117.086172,"soil6_perturbedpH4.25_isolationpH5","soil","ENVO:00001998"
"HTWP5","V2_kuehnlab_strainbank_active3","C5","sequenced_strainbank_array2","H5","TSB_variant_b_0.1x",0.858,"APII","Washington Park","2024-06-13",41.7928928,-87.608567,"Taken from Washington Park, near the DuSable.  Removed 1-2 centimeters below the surface. There was a lot of garbage in the area. APII was obtained from grinding API.","soil","ENVO:00001998"
"JW70604","V2_kuehnlab_strainbank_active3","C6","sequenced_strainbank_array2","H6","TSB_variant_b_0.1x",0.134,"CE73","","2022-09-08",46.779637,-117.086172,"soil6_perturbedpH7.32_isolationpH7","soil","ENVO:00001998"
"fb8","V2_kuehnlab_strainbank_active3","C7","sequenced_strainbank_array2","H7","TSB_variant_b_0.1x",0.12,"CE_Neutral6","","2022-11-09",46.781524,-117.084694,"TSB_10%_pH8","soil","ENVO:00001998"
"HTWP7","V2_kuehnlab_strainbank_active3","C8","sequenced_strainbank_array2","H8","TSB_variant_b_0.1x",0.486,"APII","Washington Park","2024-06-13",41.7928928,-87.608567,"Taken from Washington Park, near the DuSable.  Removed 1-2 centimeters below the surface. There was a lot of garbage in the area. APII was obtained from grinding API. Species is unknown.","soil","ENVO:00001998"
"HTM11","V2_kuehnlab_strainbank_active3","C9","sequenced_strainbank_array2","H9","TSB_variant_b_0.1x",0.965,"M1","Washington Park","2024-06-13",41.7928928,-87.608567,"Taken from Washington Park, near the DuSable.  Removed 1-2 centimeters below the surface. There was a lot of garbage in the area. APII was obtained from grinding API.","soil","ENVO:00001998"
"HTWP4","V2_kuehnlab_strainbank_active3","D1","sequenced_strainbank_array2","H10","TSB_variant_b_0.1x",1.67,"APII","Washington Park","2024-06-13",41.7928928,-87.608567,"Taken from Washington Park, near the DuSable.  Removed 1-2 centimeters below the surface. There was a lot of garbage in the area. APII was obtained from grinding API.","soil","ENVO:00001998"
"ALSP1a05","V2_kuehnlab_strainbank_active3","D2","sequenced_strainbank_array2","H11","TSB_variant_b_0.1x",0.92,"Soil 4","Alsip 1","2022-10-17",41.65538739,-87.73754314,"","soil","ENVO:00001998"
"KC611216","V2_kuehnlab_strainbank_active3","D3","sequenced_strainbank_array2","H12","TSB_variant_b_0.1x",0.718,"1","","2020-11-01",40.081,-88.203,"isolated from KG glycerol stock ph 6 soil sample 1 cycle 12 02/21","soil","ENVO:00001998"
"blank","","","sequenced_strainbank_array1","D8","TSB_variant_b_0.1x",0,"","","",,,"","",""
"blank","","","sequenced_strainbank_array2","A1","TSB_variant_b_0.1x",0,"","","",,,"","",""
"6D03","","","marine_strainbank_array2","A1","M13",0.166,"","Coastal ocean surface water","2013-10-07",42.25,-70.54,"","marine","ENVO:00002150"
"TI.2.02","fb_strains_4","C2","marine_strainbank_array2","A2","M13",0.209,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.5.07","fb_strains_4","C3","marine_strainbank_array2","A3","M13",0.376,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.20","fb_strains_4","C4","marine_strainbank_array2","A4","M13",0.163,"","Tatoosh Island, Washington, US","2024-09",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.9.42","fb_strains_4","C5","marine_strainbank_array2","A5","M13",0.143,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.9.53b","fb_strains_4","C6","marine_strainbank_array2","A6","M13",0.404,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.1.03","fb_strains_4","C7","marine_strainbank_array2","A7","M13",0.18,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.3.03","fb_strains_4","C8","marine_strainbank_array2","A8","M13",0.14,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.4.06","fb_strains_4","C9","marine_strainbank_array2","A9","M13",0.131,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"1A01","","","marine_strainbank_array2","A10","M13",0.217,"","Coastal ocean surface water","2013-10-07",42.25,-70.54,"","marine","ENVO:00002150"
"TI.7.10","fb_strains_4","D2","marine_strainbank_array2","A11","M13",0.162,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TN.2.05","fb_strains_4","D3","marine_strainbank_array2","A12","M13",0.198,"","Tacoma Narrows, Washington, US","2021-09-06",47.296389,-122.531944,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TN.2.01","fb_strains_4","D4","marine_strainbank_array2","B1","M13",0.146,"","Tacoma Narrows, Washington, US","2021-09-06",47.296389,-122.531944,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"3D05","","","marine_strainbank_array2","B2","M13",0.179,"","Coastal ocean surface water","2013-10-07",42.25,-70.54,"","marine","ENVO:00002150"
"TI.7.08","fb_strains_4","D6","marine_strainbank_array2","B3","M13",0.187,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.21","fb_strains_4","D7","marine_strainbank_array2","B4","M13",0.573,"","Tatoosh Island, Washington, US","2024-09",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.9.43","fb_strains_4","D8","marine_strainbank_array2","B5","M13",0.214,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.9.54","fb_strains_4","D9","marine_strainbank_array2","B6","M13",0.298,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.1.06","fb_strains_4","E1","marine_strainbank_array2","B7","M13",0.132,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.3.05","fb_strains_4","E2","marine_strainbank_array2","B8","M13",0.196,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.4.10","fb_strains_4","E3","marine_strainbank_array2","B9","M13",0.152,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"6C06","","","marine_strainbank_array2","B10","M13",0.125,"","Coastal ocean surface water","2013-10-07",42.25,-70.54,"","marine","ENVO:00002150"
"TI.7.11","fb_strains_4","E5","marine_strainbank_array2","B11","M13",0.094,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"DSM 24912","fb_strains_4","E6","marine_strainbank_array2","B12","M13",0.015,"","King George Island, Antarctica","2005-12",-62.233,-58.783,"Plated from coastal seawater","marine","ENVO:00002150"
"E3M18","","","marine_strainbank_array2","C1","M13",0.325,"","agarose-alginate mix 40-100 m particle (artificial) late colonization","2015-11",42.25,-70.54,"","marine","ENVO:01000058"
"TI.3.07","fb_strains_4","E8","marine_strainbank_array2","C2","M13",0.182,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.02","fb_strains_4","E9","marine_strainbank_array2","C3","M13",0.247,"","Tatoosh Island, Washington, US","2024-02",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.23","fb_strains_4","F1","marine_strainbank_array2","C4","M13",0.228,"","Tatoosh Island, Washington, US","2024-09",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.9.44b","fb_strains_4","F2","marine_strainbank_array2","C5","M13",0.346,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.9.56","fb_strains_4","F3","marine_strainbank_array2","C6","M13",0.566,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.1.12","fb_strains_4","F4","marine_strainbank_array2","C7","M13",0.002,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.3.06","fb_strains_4","F5","marine_strainbank_array2","C8","M13",0.182,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.5.01","fb_strains_4","F6","marine_strainbank_array2","C9","M13",0.125,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.6.03","fb_strains_4","F7","marine_strainbank_array2","C10","M13",0.156,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TN.1.03","fb_strains_4","F8","marine_strainbank_array2","C11","M13",0.188,"","Tacoma Narrows, Washington, US","2021-09-06",47.296389,-122.531944,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"A1M10","","","marine_strainbank_array2","C12","M13",0.244,"","agarose hydrogel particle enrichment","2015",42.42,-70.907,"","marine","ENVO:01000058"
"TI.1.02","fb_strains_4","G1","marine_strainbank_array2","D1","M13",0.127,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.3.09","fb_strains_4","G2","marine_strainbank_array2","D2","M13",0.123,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.03","fb_strains_4","G3","marine_strainbank_array2","D3","M13",0.212,"","Tatoosh Island, Washington, US","2024-02",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.28","fb_strains_4","G4","marine_strainbank_array2","D4","M13",0.461,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.9.45","fb_strains_4","G5","marine_strainbank_array2","D5","M13",0.005,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.1.04","fb_strains_4","H4","marine_strainbank_array2","D6","M13",0.174,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.1.13","fb_strains_4","G7","marine_strainbank_array2","D7","M13",0.201,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.3.08","fb_strains_4","G8","marine_strainbank_array2","D8","M13",0.132,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.5.02","fb_strains_4","G9","marine_strainbank_array2","D9","M13",0.168,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.7.01","fb_strains_4","H1","marine_strainbank_array2","D10","M13",0.237,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TN.1.04","fb_strains_4","H2","marine_strainbank_array2","D11","M13",0.138,"","Tacoma Narrows, Washington, US","2021-09-06",47.296389,-122.531944,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.59","fb_strains_4","H3","marine_strainbank_array2","D12","M13",0.189,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.9.09","fb_strains_4","I9","marine_strainbank_array2","E1","M13",0.014,"","Tatoosh Island, Washington, US","2024-02",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.3.14","fb_strains_4","H5","marine_strainbank_array2","E2","M13",0.2,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.08","fb_strains_4","H6","marine_strainbank_array2","E3","M13",0.02,"","Tatoosh Island, Washington, US","2024-02",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.30","fb_strains_4","H7","marine_strainbank_array2","E4","M13",0.278,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.9.46","fb_strains_4","H8","marine_strainbank_array2","E5","M13",0.36,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.9.58","fb_strains_4","H9","marine_strainbank_array2","E6","M13",0.227,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.2.03","fb_strains_4","I1","marine_strainbank_array2","E7","M13",0.131,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.3.10","fb_strains_4","I2","marine_strainbank_array2","E8","M13",0.138,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.5.03","fb_strains_4","I3","marine_strainbank_array2","E9","M13",0.186,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.7.02","fb_strains_4","I4","marine_strainbank_array2","E10","M13",0.086,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TN.1.05","fb_strains_4","I5","marine_strainbank_array2","E11","M13",0.174,"","Tacoma Narrows, Washington, US","2021-09-06",47.296389,-122.531944,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.60","fb_strains_4","I6","marine_strainbank_array2","E12","M13",0.289,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.1.05","fb_strains_4","I7","marine_strainbank_array2","F1","M13",0.03,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.3.15","fb_strains_4","I8","marine_strainbank_array2","F2","M13",0.239,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.36","fb_strains_5","A1","marine_strainbank_array2","F3","M13",0.431,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.4.07","fb_strains_5","B2","marine_strainbank_array2","F4","M13",0.181,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.48b","fb_strains_5","A2","marine_strainbank_array2","F5","M13",0.488,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TN1.02","","","marine_strainbank_array2","F6","M13",0.154,"","","",,,"","marine","ENVO:01000058"
"TI.2.04","fb_strains_5","A4","marine_strainbank_array2","F7","M13",0.15,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.4.01","fb_strains_5","A5","marine_strainbank_array2","F8","M13",0.178,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.5.04","fb_strains_5","A6","marine_strainbank_array2","F9","M13",0.146,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.7.03","fb_strains_5","A7","marine_strainbank_array2","F10","M13",0.273,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TN.2.01","fb_strains_4","D4","marine_strainbank_array2","F11","M13",0.121,"","Tacoma Narrows, Washington, US","2021-09-06",47.296389,-122.531944,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.39","","","marine_strainbank_array2","F12","M13",0.17,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.1.08","fb_strains_5","B1","marine_strainbank_array2","G1","M13",0.132,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"blank","fb_strains_5","A9","marine_strainbank_array2","G2","M13",0,"","","",,,"","",""
"TI.9.14","fb_strains_5","B3","marine_strainbank_array2","G3","M13",0.255,"","Tatoosh Island, Washington, US","2024-02",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.45","fb_strains_4","G5","marine_strainbank_array2","G4","M13",0.117,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.9.51","fb_strains_5","B5","marine_strainbank_array2","G5","M13",0.238,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"DSM 107188","fb_strains_5","B6","marine_strainbank_array2","G6","M13",0.288,"","Wando Island, South Korea","",,,"Plated from brown algal reservoir leachate","marine","ENVO:01000058"
"TI.2.08","fb_strains_5","B7","marine_strainbank_array2","G7","M13",0.122,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.4.02","fb_strains_5","B8","marine_strainbank_array2","G8","M13",0.12,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.5.05","fb_strains_5","B9","marine_strainbank_array2","G9","M13",0.248,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.7.04","fb_strains_5","C1","marine_strainbank_array2","G10","M13",0.162,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TN.2.02","fb_strains_5","C2","marine_strainbank_array2","G11","M13",0.203,"","Tacoma Narrows, Washington, US","2021-09-06",47.296389,-122.531944,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.60","fb_strains_4","I6","marine_strainbank_array2","G12","M13",0.227,"","Tatoosh Island, Washington, US","2024-09-01",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
"TI.1.15","fb_strains_5","C4","marine_strainbank_array2","H1","M13",0.227,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.4.08","fb_strains_5","C5","marine_strainbank_array2","H2","M13",0.248,"","Tatoosh Island, Washington, US","2021-09-06",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana shipped by mail","marine","ENVO:01000058"
"TI.9.16","fb_strains_5","C6","marine_strainbank_array2","H3","M13",0.474,"","Tatoosh Island, Washington, US","2024-09",48.393689,-124.73382,"Swabbed from blade of healthy adult Nereocystis luetkeana onsite","marine","ENVO:01000058"
