Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 2:27:16 AM
ID1: P0000000022  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.114
A02:    0.822
A03:    0.248
A04:    0.449
A05:    0.364
A06:    0.384
A07:    0.571
A08:    0.257
A09:    0.273
A10:    0.509
A11:    0.492
A12:    0.172
B01:    0.518
B02:    0.582
B03:    0.484
B04:    0.58 
B05:    0.545
B06:    0.286
B07:    0.147
B08:    0.214
B09:    0.526
B10:    0.62 
B11:    0.89 
B12:    0.181
C01:    0.262
C02:    0.63 
C03:    0.467
C04:    0.358
C05:    0.227
C06:    0.396
C07:    0.594
C08:    0.471
C09:    0.274
C10:    0.598
C11:    0.781
C12:    0.452
D01:    0.521
D02:    0.25 
D03:    0.589
D04:    0.57 
D05:    0.294
D06:    0.251
D07:    0.261
D08:    0.281
D09:    0.425
D10:    0.634
D11:    0.367
D12:    0.268
E01:    0.107
E02:    0.638
E03:    0.569
E04:    0.26 
E05:    0.474
E06:    0.439
E07:    0.568
E08:    0.469
E09:    0.52 
E10:    0.447
E11:    0.172
E12:    0.378
F01:    0.105
F02:    0.406
F03:    0.489
F04:    0.533
F05:    0.456
F06:    0.429
F07:    0.536
F08:    0.416
F09:    0.518
F10:    0.428
F11:    0.338
F12:    0.43 
G01:    0.405
G02:    0.703
G03:    0.519
G04:    0.478
G05:    0.184
G06:    0.705
G07:    0.243
G08:    0.443
G09:    0.28 
G10:    0.593
G11:    0.478
G12:    0.398
H01:    0.562
H02:    0.679
H03:    0.229
H04:    0.405
H05:    0.593
H06:    0.137
H07:    0.247
H08:    0.305
H09:    0.345
H10:    0.384
H11:    0.504
H12:    0.538

