Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 8:13:44 PM
ID1: P0000000011  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.309
A02:    0.488
A03:    0.42 
A04:    0.388
A05:    0.479
A06:    0.517
A07:    0.515
A08:    0.423
A09:    0.463
A10:    0.224
A11:    0.317
A12:    0.235
B01:    0.237
B02:    0.492
B03:    0.538
B04:    0.457
B05:    0.481
B06:    0.429
B07:    0.191
B08:    0.442
B09:    0.474
B10:    0.469
B11:    0.433
B12:    0.235
C01:    0.471
C02:    0.238
C03:    0.334
C04:    0.42 
C05:    0.246
C06:    0.524
C07:    0.185
C08:    0.297
C09:    0.335
C10:    0.467
C11:    0.295
C12:    0.512
D01:    0.475
D02:    0.163
D03:    0.225
D04:    0.348
D05:    0.475
D06:    0.51 
D07:    0.49 
D08:    0.147
D09:    0.38 
D10:    0.463
D11:    0.259
D12:    0.527
E01:    0.358
E02:    0.444
E03:    0.45 
E04:    0.393
E05:    0.414
E06:    0.443
E07:    0.424
E08:    0.38 
E09:    0.455
E10:    0.469
E11:    0.501
E12:    0.508
F01:    0.315
F02:    0.407
F03:    0.412
F04:    0.452
F05:    0.457
F06:    0.51 
F07:    0.279
F08:    0.369
F09:    0.39 
F10:    0.356
F11:    0.488
F12:    0.402
G01:    0.452
G02:    0.438
G03:    0.125
G04:    0.485
G05:    0.332
G06:    0.425
G07:    0.721
G08:    0.15 
G09:    0.479
G10:    0.616
G11:    0.448
G12:    0.489
H01:    0.189
H02:    0.304
H03:    0.123
H04:    0.394
H05:    0.365
H06:    0.336
H07:    0.34 
H08:    0.338
H09:    0.476
H10:    0.312
H11:    0.287
H12:    0.272

