Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 12:27:41 AM
ID1: P0000000017  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.109
A02:    0.197
A03:    0.173
A04:    0.171
A05:    0.151
A06:    0.159
A07:    0.261
A08:    0.275
A09:    0.192
A10:    0.311
A11:    0.28 
A12:    0.194
B01:    0.246
B02:    0.234
B03:    0.15 
B04:    0.151
B05:    0.55 
B06:    0.552
B07:    0.178
B08:    0.209
B09:    0.173
B10:    0.173
B11:    0.263
B12:    0.17 
C01:    0.146
C02:    0.23 
C03:    0.251
C04:    0.154
C05:    0.155
C06:    0.176
C07:    0.167
C08:    0.243
C09:    0.146
C10:    0.164
C11:    0.256
C12:    0.234
D01:    0.181
D02:    0.154
D03:    0.219
D04:    0.163
D05:    0.143
D06:    0.241
D07:    0.299
D08:    0.164
D09:    0.31 
D10:    0.166
D11:    0.144
D12:    0.137
E01:    0.134
E02:    0.134
E03:    0.313
E04:    0.236
E05:    0.29 
E06:    0.283
E07:    0.293
E08:    0.262
E09:    0.158
E10:    0.132
E11:    0.248
E12:    0.147
F01:    0.128
F02:    0.129
F03:    0.133
F04:    0.239
F05:    0.142
F06:    0.15 
F07:    0.136
F08:    0.165
F09:    0.278
F10:    0.145
F11:    0.154
F12:    0.128
G01:    0.146
G02:    0.124
G03:    0.131
G04:    0.133
G05:    0.147
G06:    0.136
G07:    0.158
G08:    0.234
G09:    0.154
G10:    0.161
G11:    0.142
G12:    0.154
H01:    0.148
H02:    0.292
H03:    0.311
H04:    0.156
H05:    0.391
H06:    0.145
H07:    0.137
H08:    0.294
H09:    0.149
H10:    0.245
H11:    0.164
H12:    0.275

