Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 5:02:35 PM
ID1: P0000000014  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.261
A02:    0.509
A03:    0.432
A04:    0.301
A05:    0.468
A06:    0.522
A07:    0.484
A08:    0.401
A09:    0.438
A10:    0.229
A11:    0.243
A12:    0.184
B01:    0.149
B02:    0.492
B03:    0.474
B04:    0.478
B05:    0.492
B06:    0.373
B07:    0.197
B08:    0.492
B09:    0.477
B10:    0.447
B11:    0.497
B12:    0.212
C01:    0.422
C02:    0.221
C03:    0.309
C04:    0.384
C05:    0.212
C06:    0.558
C07:    0.192
C08:    0.307
C09:    0.338
C10:    0.484
C11:    0.239
C12:    0.515
D01:    0.518
D02:    0.154
D03:    0.27 
D04:    0.404
D05:    0.429
D06:    0.506
D07:    0.472
D08:    0.154
D09:    0.431
D10:    0.472
D11:    0.253
D12:    0.536
E01:    0.379
E02:    0.438
E03:    0.431
E04:    0.375
E05:    0.39 
E06:    0.449
E07:    0.421
E08:    0.365
E09:    0.452
E10:    0.442
E11:    0.482
E12:    0.537
F01:    0.292
F02:    0.414
F03:    0.408
F04:    0.44 
F05:    0.452
F06:    0.52 
F07:    0.306
F08:    0.362
F09:    0.397
F10:    0.366
F11:    0.576
F12:    0.437
G01:    0.481
G02:    0.419
G03:    0.229
G04:    0.487
G05:    0.337
G06:    0.415
G07:    0.72 
G08:    0.147
G09:    0.462
G10:    0.612
G11:    0.448
G12:    0.522
H01:    0.196
H02:    0.327
H03:    0.263
H04:    0.411
H05:    0.334
H06:    0.382
H07:    0.323
H08:    0.374
H09:    0.518
H10:    0.338
H11:    0.331
H12:    0.153

