Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 9:40:18 AM
ID1: P0000000018  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.147
A02:    0.341
A03:    0.339
A04:    0.232
A05:    0.266
A06:    0.305
A07:    0.305
A08:    0.44 
A09:    0.215
A10:    0.348
A11:    0.396
A12:    0.158
B01:    0.389
B02:    0.47 
B03:    0.229
B04:    0.265
B05:    0.463
B06:    0.53 
B07:    0.273
B08:    0.266
B09:    0.307
B10:    0.214
B11:    0.47 
B12:    0.39 
C01:    0.268
C02:    0.33 
C03:    0.391
C04:    0.354
C05:    0.322
C06:    0.166
C07:    0.178
C08:    0.321
C09:    0.179
C10:    0.166
C11:    0.312
C12:    0.267
D01:    0.234
D02:    0.198
D03:    0.444
D04:    0.282
D05:    0.161
D06:    0.435
D07:    0.303
D08:    0.381
D09:    0.435
D10:    0.148
D11:    0.208
D12:    0.282
E01:    0.162
E02:    0.161
E03:    0.465
E04:    0.47 
E05:    0.411
E06:    0.394
E07:    0.454
E08:    0.299
E09:    0.31 
E10:    0.137
E11:    0.44 
E12:    0.137
F01:    0.098
F02:    0.129
F03:    0.138
F04:    0.416
F05:    0.23 
F06:    0.238
F07:    0.209
F08:    0.257
F09:    0.467
F10:    0.298
F11:    0.392
F12:    0.119
G01:    0.298
G02:    0.11 
G03:    0.115
G04:    0.103
G05:    0.148
G06:    0.141
G07:    0.257
G08:    0.237
G09:    0.202
G10:    0.224
G11:    0.147
G12:    0.13 
H01:    0.296
H02:    0.341
H03:    0.424
H04:    0.139
H05:    0.357
H06:    0.13 
H07:    0.183
H08:    0.264
H09:    0.134
H10:    0.308
H11:    0.112
H12:    0.443

