Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 4:40:53 AM
ID1: P0000000025  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.149
A02:    0.233
A03:    0.226
A04:    0.205
A05:    0.248
A06:    0.212
A07:    0.279
A08:    0.23 
A09:    0.298
A10:    0.185
A11:    0.185
A12:    0.172
B01:    0.13 
B02:    0.303
B03:    0.282
B04:    0.488
B05:    0.335
B06:    0.164
B07:    0.144
B08:    0.486
B09:    0.498
B10:    0.384
B11:    0.424
B12:    0.158
C01:    0.277
C02:    0.129
C03:    0.15 
C04:    0.243
C05:    0.142
C06:    0.458
C07:    0.157
C08:    0.335
C09:    0.328
C10:    0.156
C11:    0.181
C12:    0.495
D01:    0.488
D02:    0.14 
D03:    0.485
D04:    0.147
D05:    0.149
D06:    0.28 
D07:    0.343
D08:    0.147
D09:    0.576
D10:    0.274
D11:    0.158
D12:    0.508
E01:    0.155
E02:    0.47 
E03:    0.205
E04:    0.46 
E05:    0.215
E06:    0.352
E07:    0.161
E08:    0.23 
E09:    0.403
E10:    0.325
E11:    0.342
E12:    0.264
F01:    0.133
F02:    0.429
F03:    0.357
F04:    0.172
F05:    0.301
F06:    0.139
F07:    0.145
F08:    0.148
F09:    0.225
F10:    0.311
F11:    0.148
F12:    0.129
G01:    0.149
G02:    0.193
G03:    0.124
G04:    0.17 
G05:    0.17 
G06:    0.251
G07:    0.32 
G08:    0.133
G09:    0.229
G10:    0.272
G11:    0.303
G12:    0.489
H01:    0.126
H02:    0.248
H03:    0.132
H04:    0.41 
H05:    0.276
H06:    0.148
H07:    0.149
H08:    0.138
H09:    0.333
H10:    0.156
H11:    0.151
H12:    0.127

