Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 8:01:04 PM
ID1: P0000000027  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.335
A02:    0.472
A03:    0.449
A04:    0.363
A05:    0.504
A06:    0.552
A07:    0.517
A08:    0.417
A09:    0.404
A10:    0.306
A11:    0.261
A12:    0.176
B01:    0.151
B02:    0.486
B03:    0.515
B04:    0.486
B05:    0.529
B06:    0.359
B07:    0.211
B08:    0.507
B09:    0.486
B10:    0.46 
B11:    0.501
B12:    0.261
C01:    0.4  
C02:    0.207
C03:    0.289
C04:    0.256
C05:    0.149
C06:    0.613
C07:    0.191
C08:    0.327
C09:    0.328
C10:    0.349
C11:    0.207
C12:    0.488
D01:    0.543
D02:    0.15 
D03:    0.537
D04:    0.462
D05:    0.445
D06:    0.491
D07:    0.474
D08:    0.151
D09:    0.56 
D10:    0.499
D11:    0.252
D12:    0.512
E01:    0.41 
E02:    0.485
E03:    0.423
E04:    0.387
E05:    0.413
E06:    0.485
E07:    0.296
E08:    0.448
E09:    0.459
E10:    0.442
E11:    0.459
E12:    0.536
F01:    0.267
F02:    0.467
F03:    0.412
F04:    0.519
F05:    0.48 
F06:    0.447
F07:    0.374
F08:    0.397
F09:    0.435
F10:    0.363
F11:    0.578
F12:    0.385
G01:    0.486
G02:    0.422
G03:    0.175
G04:    0.514
G05:    0.349
G06:    0.394
G07:    0.669
G08:    0.147
G09:    0.513
G10:    0.568
G11:    0.476
G12:    0.496
H01:    0.282
H02:    0.326
H03:    0.268
H04:    0.354
H05:    0.218
H06:    0.273
H07:    0.306
H08:    0.294
H09:    0.505
H10:    0.308
H11:    0.292
H12:    0.16 

