Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 11:19:12 AM
ID1: P0000000004  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.315
A02:    0.343
A03:    0.343
A04:    0.367
A05:    0.264
A06:    0.402
A07:    0.358
A08:    0.452
A09:    0.25 
A10:    0.275
A11:    0.417
A12:    0.205
B01:    0.363
B02:    0.385
B03:    0.241
B04:    0.309
B05:    0.367
B06:    0.378
B07:    0.274
B08:    0.329
B09:    0.199
B10:    0.182
B11:    0.424
B12:    0.457
C01:    0.367
C02:    0.392
C03:    0.333
C04:    0.287
C05:    0.3  
C06:    0.181
C07:    0.189
C08:    0.344
C09:    0.176
C10:    0.237
C11:    0.313
C12:    0.367
D01:    0.258
D02:    0.2  
D03:    0.46 
D04:    0.323
D05:    0.158
D06:    0.393
D07:    0.381
D08:    0.356
D09:    0.416
D10:    0.144
D11:    0.254
D12:    0.272
E01:    0.232
E02:    0.189
E03:    0.447
E04:    0.438
E05:    0.4  
E06:    0.398
E07:    0.403
E08:    0.224
E09:    0.236
E10:    0.138
E11:    0.371
E12:    0.133
F01:    0.144
F02:    0.221
F03:    0.275
F04:    0.358
F05:    0.382
F06:    0.203
F07:    0.263
F08:    0.246
F09:    0.419
F10:    0.288
F11:    0.354
F12:    0.123
G01:    0.323
G02:    0.136
G03:    0.144
G04:    0.139
G05:    0.227
G06:    0.136
G07:    0.384
G08:    0.277
G09:    0.427
G10:    0.26 
G11:    0.15 
G12:    0.12 
H01:    0.321
H02:    0.296
H03:    0.365
H04:    0.144
H05:    0.301
H06:    0.161
H07:    0.297
H08:    0.325
H09:    0.151
H10:    0.356
H11:    0.11 
H12:    0.505

