Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 3:35:31 AM
ID1: P0000000004  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.314
A02:    0.359
A03:    0.348
A04:    0.302
A05:    0.269
A06:    0.41 
A07:    0.36 
A08:    0.461
A09:    0.247
A10:    0.282
A11:    0.387
A12:    0.185
B01:    0.404
B02:    0.391
B03:    0.248
B04:    0.331
B05:    0.409
B06:    0.416
B07:    0.284
B08:    0.36 
B09:    0.223
B10:    0.215
B11:    0.426
B12:    0.505
C01:    0.341
C02:    0.401
C03:    0.324
C04:    0.299
C05:    0.305
C06:    0.176
C07:    0.189
C08:    0.343
C09:    0.178
C10:    0.232
C11:    0.308
C12:    0.357
D01:    0.256
D02:    0.193
D03:    0.458
D04:    0.299
D05:    0.154
D06:    0.459
D07:    0.372
D08:    0.393
D09:    0.415
D10:    0.146
D11:    0.192
D12:    0.231
E01:    0.192
E02:    0.226
E03:    0.496
E04:    0.458
E05:    0.399
E06:    0.401
E07:    0.464
E08:    0.232
E09:    0.184
E10:    0.138
E11:    0.375
E12:    0.125
F01:    0.144
F02:    0.242
F03:    0.243
F04:    0.363
F05:    0.412
F06:    0.205
F07:    0.269
F08:    0.255
F09:    0.419
F10:    0.288
F11:    0.359
F12:    0.12 
G01:    0.3  
G02:    0.137
G03:    0.141
G04:    0.137
G05:    0.263
G06:    0.139
G07:    0.421
G08:    0.278
G09:    0.426
G10:    0.292
G11:    0.149
G12:    0.116
H01:    0.297
H02:    0.282
H03:    0.358
H04:    0.145
H05:    0.323
H06:    0.147
H07:    0.283
H08:    0.329
H09:    0.162
H10:    0.347
H11:    0.128
H12:    0.477

