Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 1:59:58 AM
ID1: P0000000005  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.354
A02:    0.359
A03:    0.334
A04:    0.373
A05:    0.298
A06:    0.424
A07:    0.355
A08:    0.469
A09:    0.221
A10:    0.3  
A11:    0.397
A12:    0.423
B01:    0.401
B02:    0.371
B03:    0.255
B04:    0.333
B05:    0.441
B06:    0.426
B07:    0.275
B08:    0.367
B09:    0.25 
B10:    0.2  
B11:    0.419
B12:    0.477
C01:    0.373
C02:    0.421
C03:    0.34 
C04:    0.215
C05:    0.306
C06:    0.161
C07:    0.169
C08:    0.31 
C09:    0.145
C10:    0.141
C11:    0.34 
C12:    0.342
D01:    0.289
D02:    0.259
D03:    0.456
D04:    0.284
D05:    0.163
D06:    0.439
D07:    0.405
D08:    0.478
D09:    0.437
D10:    0.166
D11:    0.207
D12:    0.243
E01:    0.226
E02:    0.24 
E03:    0.492
E04:    0.425
E05:    0.392
E06:    0.399
E07:    0.421
E08:    0.219
E09:    0.313
E10:    0.151
E11:    0.377
E12:    0.17 
F01:    0.14 
F02:    0.231
F03:    0.276
F04:    0.333
F05:    0.377
F06:    0.21 
F07:    0.298
F08:    0.277
F09:    0.418
F10:    0.23 
F11:    0.377
F12:    0.154
G01:    0.306
G02:    0.14 
G03:    0.17 
G04:    0.142
G05:    0.268
G06:    0.141
G07:    0.487
G08:    0.285
G09:    0.423
G10:    0.261
G11:    0.152
G12:    0.152
H01:    0.278
H02:    0.311
H03:    0.36 
H04:    0.15 
H05:    0.337
H06:    0.155
H07:    0.3  
H08:    0.328
H09:    0.164
H10:    0.391
H11:    0.158
H12:    0.471

