Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 4:04:49 AM
ID1: P0000000011  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.181
A02:    0.205
A03:    0.236
A04:    0.22 
A05:    0.371
A06:    0.173
A07:    0.306
A08:    0.221
A09:    0.339
A10:    0.214
A11:    0.227
A12:    0.166
B01:    0.142
B02:    0.285
B03:    0.236
B04:    0.498
B05:    0.315
B06:    0.14 
B07:    0.147
B08:    0.503
B09:    0.321
B10:    0.349
B11:    0.399
B12:    0.14 
C01:    0.279
C02:    0.125
C03:    0.156
C04:    0.238
C05:    0.153
C06:    0.525
C07:    0.17 
C08:    0.385
C09:    0.378
C10:    0.184
C11:    0.151
C12:    0.464
D01:    0.497
D02:    0.122
D03:    0.48 
D04:    0.155
D05:    0.152
D06:    0.395
D07:    0.298
D08:    0.15 
D09:    0.482
D10:    0.274
D11:    0.169
D12:    0.566
E01:    0.157
E02:    0.446
E03:    0.215
E04:    0.458
E05:    0.221
E06:    0.299
E07:    0.23 
E08:    0.252
E09:    0.375
E10:    0.317
E11:    0.323
E12:    0.359
F01:    0.148
F02:    0.426
F03:    0.391
F04:    0.196
F05:    0.254
F06:    0.147
F07:    0.16 
F08:    0.133
F09:    0.228
F10:    0.29 
F11:    0.15 
F12:    0.148
G01:    0.12 
G02:    0.244
G03:    0.132
G04:    0.126
G05:    0.173
G06:    0.265
G07:    0.328
G08:    0.13 
G09:    0.182
G10:    0.28 
G11:    0.318
G12:    0.489
H01:    0.077
H02:    0.146
H03:    0.066
H04:    0.36 
H05:    0.167
H06:    0.136
H07:    0.152
H08:    0.145
H09:    0.317
H10:    0.161
H11:    0.119
H12:    0.124

