Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 11:52:47 AM
ID1: P0000000019  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.322
A02:    0.359
A03:    0.351
A04:    0.387
A05:    0.252
A06:    0.379
A07:    0.352
A08:    0.49 
A09:    0.241
A10:    0.264
A11:    0.389
A12:    0.23 
B01:    0.371
B02:    0.352
B03:    0.272
B04:    0.331
B05:    0.398
B06:    0.376
B07:    0.226
B08:    0.357
B09:    0.215
B10:    0.24 
B11:    0.414
B12:    0.439
C01:    0.366
C02:    0.372
C03:    0.292
C04:    0.301
C05:    0.298
C06:    0.165
C07:    0.176
C08:    0.305
C09:    0.304
C10:    0.234
C11:    0.34 
C12:    0.319
D01:    0.309
D02:    0.402
D03:    0.425
D04:    0.265
D05:    0.154
D06:    0.413
D07:    0.4  
D08:    0.411
D09:    0.425
D10:    0.149
D11:    0.22 
D12:    0.247
E01:    0.225
E02:    0.181
E03:    0.442
E04:    0.433
E05:    0.398
E06:    0.413
E07:    0.421
E08:    0.257
E09:    0.257
E10:    0.153
E11:    0.397
E12:    0.142
F01:    0.146
F02:    0.221
F03:    0.301
F04:    0.309
F05:    0.358
F06:    0.207
F07:    0.254
F08:    0.246
F09:    0.416
F10:    0.278
F11:    0.345
F12:    0.137
G01:    0.353
G02:    0.142
G03:    0.221
G04:    0.149
G05:    0.222
G06:    0.141
G07:    0.467
G08:    0.299
G09:    0.402
G10:    0.25 
G11:    0.144
G12:    0.106
H01:    0.336
H02:    0.318
H03:    0.393
H04:    0.15 
H05:    0.346
H06:    0.155
H07:    0.269
H08:    0.309
H09:    0.158
H10:    0.379
H11:    0.134
H12:    0.433

