Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 8:10:17 PM
ID1: P0000000024  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.15 
A02:    0.6  
A03:    0.268
A04:    0.505
A05:    0.446
A06:    0.491
A07:    0.599
A08:    0.189
A09:    0.249
A10:    0.419
A11:    0.531
A12:    0.252
B01:    0.551
B02:    0.611
B03:    0.483
B04:    0.643
B05:    0.606
B06:    0.249
B07:    0.316
B08:    0.214
B09:    0.595
B10:    0.676
B11:    1.288
B12:    0.143
C01:    0.27 
C02:    0.633
C03:    0.486
C04:    0.363
C05:    0.175
C06:    0.388
C07:    0.642
C08:    0.493
C09:    0.296
C10:    0.604
C11:    0.699
C12:    0.45 
D01:    0.608
D02:    0.289
D03:    0.643
D04:    0.561
D05:    0.323
D06:    0.243
D07:    0.247
D08:    0.29 
D09:    0.42 
D10:    0.966
D11:    0.38 
D12:    0.173
E01:    0.139
E02:    0.643
E03:    0.621
E04:    0.263
E05:    0.448
E06:    0.452
E07:    0.631
E08:    0.492
E09:    0.559
E10:    0.431
E11:    0.281
E12:    0.339
F01:    0.158
F02:    0.427
F03:    0.519
F04:    0.568
F05:    0.456
F06:    0.439
F07:    0.576
F08:    0.435
F09:    0.553
F10:    0.344
F11:    0.332
F12:    0.418
G01:    0.393
G02:    0.693
G03:    0.579
G04:    0.47 
G05:    0.22 
G06:    0.806
G07:    0.307
G08:    0.398
G09:    0.237
G10:    0.591
G11:    0.459
G12:    0.449
H01:    0.615
H02:    0.73 
H03:    0.276
H04:    0.391
H05:    0.605
H06:    0.155
H07:    0.286
H08:    0.314
H09:    0.341
H10:    0.289
H11:    0.505
H12:    0.458

