Testname: FB_OD600scan_96well
Date: 12/8/2025  Time: 5:49:00 PM
ID1: P0000000026  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.154
A02:    0.127
A03:    0.15 
A04:    0.148
A05:    0.146
A06:    0.135
A07:    0.141
A08:    0.152
A09:    0.188
A10:    0.148
A11:    0.152
A12:    0.143
B01:    0.129
B02:    0.143
B03:    0.145
B04:    0.142
B05:    0.134
B06:    0.127
B07:    0.119
B08:    0.13 
B09:    0.16 
B10:    0.125
B11:    0.174
B12:    0.128
C01:    0.144
C02:    0.131
C03:    0.127
C04:    0.141
C05:    0.129
C06:    0.145
C07:    0.125
C08:    0.131
C09:    0.17 
C10:    0.121
C11:    0.107
C12:    0.11 
D01:    0.156
D02:    0.132
D03:    0.147
D04:    0.132
D05:    0.141
D06:    0.141
D07:    0.151
D08:    0.131
D09:    0.128
D10:    0.13 
D11:    0.11 
D12:    0.108
E01:    0.129
E02:    0.132
E03:    0.144
E04:    0.153
E05:    0.134
E06:    0.147
E07:    0.129
E08:    0.125
E09:    0.131
E10:    0.115
E11:    0.105
E12:    0.131
F01:    0.119
F02:    0.126
F03:    0.12 
F04:    0.12 
F05:    0.128
F06:    0.131
F07:    0.12 
F08:    0.119
F09:    0.126
F10:    0.117
F11:    0.12 
F12:    0.106
G01:    0.123
G02:    0.126
G03:    0.117
G04:    0.137
G05:    0.12 
G06:    0.12 
G07:    0.124
G08:    0.118
G09:    0.124
G10:    0.127
G11:    0.129
G12:    0.135
H01:    0.115
H02:    0.164
H03:    0.138
H04:    0.148
H05:    0.131
H06:    0.115
H07:    0.115
H08:    0.126
H09:    0.135
H10:    0.11 
H11:    0.105
H12:    0.135

