Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 6:16:30 AM
ID1: P0000000024  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.145
A02:    0.209
A03:    0.245
A04:    0.243
A05:    0.417
A06:    0.225
A07:    0.58 
A08:    0.202
A09:    0.272
A10:    0.296
A11:    0.628
A12:    0.241
B01:    0.266
B02:    0.381
B03:    0.473
B04:    0.257
B05:    0.416
B06:    0.336
B07:    0.223
B08:    0.204
B09:    0.181
B10:    0.607
B11:    0.852
B12:    0.137
C01:    0.259
C02:    0.355
C03:    0.45 
C04:    0.234
C05:    0.159
C06:    0.417
C07:    0.988
C08:    0.518
C09:    0.263
C10:    0.52 
C11:    0.304
C12:    0.508
D01:    0.2  
D02:    0.163
D03:    0.259
D04:    0.319
D05:    0.244
D06:    0.265
D07:    0.246
D08:    0.297
D09:    0.296
D10:    0.238
D11:    0.274
D12:    0.173
E01:    0.136
E02:    0.459
E03:    0.675
E04:    0.156
E05:    0.443
E06:    0.299
E07:    0.274
E08:    0.331
E09:    0.545
E10:    0.515
E11:    0.203
E12:    0.277
F01:    0.126
F02:    0.379
F03:    0.353
F04:    0.318
F05:    0.247
F06:    0.307
F07:    0.367
F08:    0.225
F09:    0.611
F10:    0.207
F11:    0.382
F12:    0.305
G01:    0.358
G02:    0.352
G03:    0.53 
G04:    0.451
G05:    0.152
G06:    0.266
G07:    0.243
G08:    0.164
G09:    0.164
G10:    0.313
G11:    0.151
G12:    0.19 
H01:    0.232
H02:    0.609
H03:    0.277
H04:    0.399
H05:    0.237
H06:    0.156
H07:    0.159
H08:    0.292
H09:    0.174
H10:    0.167
H11:    0.504
H12:    0.252

