Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 12:06:09 AM
ID1: P0000000024  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.148
A02:    0.151
A03:    0.203
A04:    0.177
A05:    0.288
A06:    0.158
A07:    0.275
A08:    0.161
A09:    0.214
A10:    0.199
A11:    0.242
A12:    0.207
B01:    0.153
B02:    0.212
B03:    0.329
B04:    0.155
B05:    0.24 
B06:    0.218
B07:    0.171
B08:    0.134
B09:    0.184
B10:    0.176
B11:    0.302
B12:    0.149
C01:    0.155
C02:    0.136
C03:    0.328
C04:    0.175
C05:    0.147
C06:    0.225
C07:    0.292
C08:    0.326
C09:    0.203
C10:    0.228
C11:    0.184
C12:    0.371
D01:    0.22 
D02:    0.153
D03:    0.174
D04:    0.17 
D05:    0.178
D06:    0.158
D07:    0.154
D08:    0.221
D09:    0.17 
D10:    0.168
D11:    0.171
D12:    0.129
E01:    0.133
E02:    0.252
E03:    0.28 
E04:    0.161
E05:    0.35 
E06:    0.168
E07:    0.173
E08:    0.243
E09:    0.187
E10:    0.348
E11:    0.134
E12:    0.241
F01:    0.128
F02:    0.249
F03:    0.192
F04:    0.17 
F05:    0.156
F06:    0.245
F07:    0.229
F08:    0.151
F09:    0.191
F10:    0.14 
F11:    0.302
F12:    0.205
G01:    0.242
G02:    0.135
G03:    0.234
G04:    0.313
G05:    0.146
G06:    0.144
G07:    0.147
G08:    0.169
G09:    0.147
G10:    0.176
G11:    0.116
G12:    0.126
H01:    0.149
H02:    0.155
H03:    0.153
H04:    0.271
H05:    0.171
H06:    0.146
H07:    0.16 
H08:    0.186
H09:    0.154
H10:    0.155
H11:    0.421
H12:    0.114

