Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 2:15:03 AM
ID1: P0000000026  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.274
A02:    0.438
A03:    0.443
A04:    0.381
A05:    0.491
A06:    0.566
A07:    0.493
A08:    0.381
A09:    0.459
A10:    0.277
A11:    0.334
A12:    0.237
B01:    0.164
B02:    0.477
B03:    0.523
B04:    0.455
B05:    0.514
B06:    0.467
B07:    0.224
B08:    0.471
B09:    0.497
B10:    0.459
B11:    0.488
B12:    0.228
C01:    0.42 
C02:    0.213
C03:    0.319
C04:    0.396
C05:    0.156
C06:    0.543
C07:    0.185
C08:    0.321
C09:    0.33 
C10:    0.521
C11:    0.261
C12:    0.463
D01:    0.479
D02:    0.153
D03:    0.481
D04:    0.502
D05:    0.463
D06:    0.516
D07:    0.472
D08:    0.153
D09:    0.5  
D10:    0.5  
D11:    0.232
D12:    0.552
E01:    0.376
E02:    0.484
E03:    0.443
E04:    0.389
E05:    0.372
E06:    0.46 
E07:    0.367
E08:    0.424
E09:    0.455
E10:    0.442
E11:    0.47 
E12:    0.523
F01:    0.331
F02:    0.431
F03:    0.411
F04:    0.493
F05:    0.47 
F06:    0.505
F07:    0.359
F08:    0.385
F09:    0.418
F10:    0.371
F11:    0.513
F12:    0.372
G01:    0.438
G02:    0.423
G03:    0.2  
G04:    0.505
G05:    0.338
G06:    0.433
G07:    0.662
G08:    0.152
G09:    0.462
G10:    0.598
G11:    0.483
G12:    0.496
H01:    0.213
H02:    0.329
H03:    0.27 
H04:    0.394
H05:    0.245
H06:    0.308
H07:    0.294
H08:    0.302
H09:    0.471
H10:    0.321
H11:    0.301
H12:    0.265

