Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 11:13:12 AM
ID1: P0000000006  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.313
A02:    0.331
A03:    0.329
A04:    0.39 
A05:    0.298
A06:    0.397
A07:    0.3  
A08:    0.438
A09:    0.231
A10:    0.273
A11:    0.401
A12:    0.436
B01:    0.355
B02:    0.37 
B03:    0.261
B04:    0.284
B05:    0.373
B06:    0.379
B07:    0.246
B08:    0.343
B09:    0.185
B10:    0.166
B11:    0.397
B12:    0.397
C01:    0.346
C02:    0.378
C03:    0.3  
C04:    0.184
C05:    0.304
C06:    0.152
C07:    0.181
C08:    0.268
C09:    0.151
C10:    0.294
C11:    0.34 
C12:    0.367
D01:    0.287
D02:    0.383
D03:    0.448
D04:    0.299
D05:    0.157
D06:    0.387
D07:    0.394
D08:    0.349
D09:    0.436
D10:    0.146
D11:    0.255
D12:    0.252
E01:    0.191
E02:    0.227
E03:    0.479
E04:    0.416
E05:    0.426
E06:    0.44 
E07:    0.399
E08:    0.187
E09:    0.242
E10:    0.154
E11:    0.347
E12:    0.15 
F01:    0.138
F02:    0.214
F03:    0.282
F04:    0.334
F05:    0.393
F06:    0.217
F07:    0.272
F08:    0.253
F09:    0.421
F10:    0.267
F11:    0.327
F12:    0.15 
G01:    0.334
G02:    0.135
G03:    0.136
G04:    0.137
G05:    0.209
G06:    0.144
G07:    0.43 
G08:    0.31 
G09:    0.408
G10:    0.262
G11:    0.143
G12:    0.154
H01:    0.275
H02:    0.315
H03:    0.375
H04:    0.145
H05:    0.318
H06:    0.145
H07:    0.318
H08:    0.329
H09:    0.168
H10:    0.367
H11:    0.15 
H12:    0.454

