Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 11:42:46 PM
ID1: P0000000003  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.327
A02:    0.333
A03:    0.345
A04:    0.336
A05:    0.255
A06:    0.39 
A07:    0.367
A08:    0.458
A09:    0.245
A10:    0.271
A11:    0.443
A12:    0.215
B01:    0.349
B02:    0.362
B03:    0.335
B04:    0.297
B05:    0.345
B06:    0.355
B07:    0.235
B08:    0.313
B09:    0.171
B10:    0.18 
B11:    0.393
B12:    0.431
C01:    0.342
C02:    0.375
C03:    0.283
C04:    0.266
C05:    0.292
C06:    0.163
C07:    0.18 
C08:    0.316
C09:    0.135
C10:    0.218
C11:    0.322
C12:    0.372
D01:    0.272
D02:    0.204
D03:    0.451
D04:    0.298
D05:    0.153
D06:    0.357
D07:    0.367
D08:    0.328
D09:    0.395
D10:    0.156
D11:    0.277
D12:    0.374
E01:    0.193
E02:    0.188
E03:    0.424
E04:    0.407
E05:    0.39 
E06:    0.391
E07:    0.39 
E08:    0.247
E09:    0.204
E10:    0.156
E11:    0.355
E12:    0.167
F01:    0.13 
F02:    0.212
F03:    0.306
F04:    0.371
F05:    0.377
F06:    0.206
F07:    0.244
F08:    0.258
F09:    0.367
F10:    0.269
F11:    0.317
F12:    0.148
G01:    0.318
G02:    0.138
G03:    0.163
G04:    0.134
G05:    0.29 
G06:    0.133
G07:    0.372
G08:    0.299
G09:    0.398
G10:    0.25 
G11:    0.136
G12:    0.154
H01:    0.327
H02:    0.338
H03:    0.405
H04:    0.145
H05:    0.317
H06:    0.147
H07:    0.335
H08:    0.328
H09:    0.481
H10:    0.383
H11:    0.135
H12:    0.493

