Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 2:56:16 PM
ID1: P0000000010  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.136
A02:    0.565
A03:    0.286
A04:    0.437
A05:    0.44 
A06:    0.422
A07:    0.6  
A08:    0.267
A09:    0.272
A10:    0.305
A11:    0.55 
A12:    0.198
B01:    0.728
B02:    0.626
B03:    0.483
B04:    0.573
B05:    0.857
B06:    0.406
B07:    0.232
B08:    0.264
B09:    0.201
B10:    0.686
B11:    1.049
B12:    0.142
C01:    0.233
C02:    0.599
C03:    0.489
C04:    0.387
C05:    0.151
C06:    0.388
C07:    0.641
C08:    0.497
C09:    0.332
C10:    0.737
C11:    0.308
C12:    0.452
D01:    0.686
D02:    0.273
D03:    0.732
D04:    0.466
D05:    0.327
D06:    0.27 
D07:    0.261
D08:    0.31 
D09:    0.38 
D10:    0.402
D11:    0.273
D12:    0.176
E01:    0.124
E02:    0.64 
E03:    0.609
E04:    0.187
E05:    0.459
E06:    0.427
E07:    0.584
E08:    0.479
E09:    0.494
E10:    0.433
E11:    0.261
E12:    0.337
F01:    0.136
F02:    0.434
F03:    0.843
F04:    0.548
F05:    0.454
F06:    0.458
F07:    0.601
F08:    0.332
F09:    0.569
F10:    0.289
F11:    0.322
F12:    0.434
G01:    0.411
G02:    0.59 
G03:    0.583
G04:    0.452
G05:    0.186
G06:    0.605
G07:    0.25 
G08:    0.206
G09:    0.257
G10:    0.419
G11:    0.353
G12:    0.464
H01:    0.548
H02:    0.632
H03:    0.219
H04:    0.392
H05:    0.416
H06:    0.165
H07:    0.159
H08:    0.275
H09:    0.272
H10:    0.291
H11:    0.469
H12:    0.586

