Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 6:37:53 AM
ID1: P0000000005  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.313
A02:    0.344
A03:    0.333
A04:    0.367
A05:    0.278
A06:    0.397
A07:    0.359
A08:    0.449
A09:    0.221
A10:    0.272
A11:    0.391
A12:    0.412
B01:    0.374
B02:    0.365
B03:    0.272
B04:    0.339
B05:    0.399
B06:    0.403
B07:    0.269
B08:    0.376
B09:    0.232
B10:    0.199
B11:    0.427
B12:    0.453
C01:    0.338
C02:    0.396
C03:    0.342
C04:    0.231
C05:    0.303
C06:    0.161
C07:    0.167
C08:    0.318
C09:    0.15 
C10:    0.224
C11:    0.337
C12:    0.35 
D01:    0.273
D02:    0.309
D03:    0.455
D04:    0.307
D05:    0.157
D06:    0.395
D07:    0.4  
D08:    0.39 
D09:    0.435
D10:    0.173
D11:    0.295
D12:    0.264
E01:    0.201
E02:    0.24 
E03:    0.47 
E04:    0.425
E05:    0.394
E06:    0.399
E07:    0.414
E08:    0.22 
E09:    0.287
E10:    0.156
E11:    0.378
E12:    0.167
F01:    0.142
F02:    0.222
F03:    0.296
F04:    0.329
F05:    0.369
F06:    0.204
F07:    0.298
F08:    0.259
F09:    0.419
F10:    0.234
F11:    0.333
F12:    0.154
G01:    0.323
G02:    0.145
G03:    0.165
G04:    0.143
G05:    0.243
G06:    0.141
G07:    0.491
G08:    0.288
G09:    0.422
G10:    0.305
G11:    0.15 
G12:    0.152
H01:    0.297
H02:    0.319
H03:    0.367
H04:    0.148
H05:    0.337
H06:    0.145
H07:    0.305
H08:    0.33 
H09:    0.152
H10:    0.398
H11:    0.153
H12:    0.48 

