Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 10:19:21 PM
ID1: P0000000026  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.328
A02:    0.501
A03:    0.42 
A04:    0.382
A05:    0.466
A06:    0.523
A07:    0.505
A08:    0.405
A09:    0.447
A10:    0.203
A11:    0.321
A12:    0.239
B01:    0.25 
B02:    0.48 
B03:    0.54 
B04:    0.449
B05:    0.454
B06:    0.361
B07:    0.212
B08:    0.439
B09:    0.464
B10:    0.455
B11:    0.44 
B12:    0.298
C01:    0.467
C02:    0.233
C03:    0.31 
C04:    0.401
C05:    0.216
C06:    0.523
C07:    0.187
C08:    0.32 
C09:    0.342
C10:    0.482
C11:    0.259
C12:    0.489
D01:    0.479
D02:    0.176
D03:    0.312
D04:    0.395
D05:    0.44 
D06:    0.481
D07:    0.492
D08:    0.159
D09:    0.403
D10:    0.456
D11:    0.215
D12:    0.569
E01:    0.403
E02:    0.447
E03:    0.448
E04:    0.406
E05:    0.399
E06:    0.458
E07:    0.425
E08:    0.36 
E09:    0.462
E10:    0.459
E11:    0.482
E12:    0.499
F01:    0.396
F02:    0.4  
F03:    0.414
F04:    0.457
F05:    0.464
F06:    0.502
F07:    0.289
F08:    0.375
F09:    0.395
F10:    0.363
F11:    0.504
F12:    0.418
G01:    0.472
G02:    0.424
G03:    0.247
G04:    0.464
G05:    0.331
G06:    0.435
G07:    0.696
G08:    0.154
G09:    0.476
G10:    0.604
G11:    0.456
G12:    0.487
H01:    0.257
H02:    0.333
H03:    0.277
H04:    0.434
H05:    0.38 
H06:    0.366
H07:    0.327
H08:    0.356
H09:    0.48 
H10:    0.382
H11:    0.302
H12:    0.297

