Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 2:50:22 PM
ID1: P0000000012  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.366
A02:    0.424
A03:    0.482
A04:    0.486
A05:    0.598
A06:    0.694
A07:    0.536
A08:    0.421
A09:    0.471
A10:    0.316
A11:    0.228
A12:    0.158
B01:    0.194
B02:    0.475
B03:    0.509
B04:    0.496
B05:    0.519
B06:    0.343
B07:    0.137
B08:    0.486
B09:    0.499
B10:    0.439
B11:    0.478
B12:    0.193
C01:    0.466
C02:    0.155
C03:    0.268
C04:    0.31 
C05:    0.151
C06:    0.615
C07:    0.173
C08:    0.323
C09:    0.316
C10:    0.326
C11:    0.159
C12:    0.461
D01:    0.523
D02:    0.151
D03:    0.62 
D04:    0.4  
D05:    0.395
D06:    0.514
D07:    0.452
D08:    0.154
D09:    0.576
D10:    0.537
D11:    0.224
D12:    0.564
E01:    0.4  
E02:    0.519
E03:    0.368
E04:    0.391
E05:    0.463
E06:    0.517
E07:    0.31 
E08:    0.474
E09:    0.476
E10:    0.45 
E11:    0.483
E12:    0.562
F01:    0.287
F02:    0.433
F03:    0.419
F04:    0.442
F05:    0.471
F06:    0.242
F07:    0.301
F08:    0.403
F09:    0.475
F10:    0.342
F11:    0.429
F12:    0.339
G01:    0.48 
G02:    0.342
G03:    0.144
G04:    0.478
G05:    0.348
G06:    0.443
G07:    0.646
G08:    0.15 
G09:    0.52 
G10:    0.56 
G11:    0.492
G12:    0.477
H01:    0.222
H02:    0.329
H03:    0.222
H04:    0.385
H05:    0.214
H06:    0.226
H07:    0.274
H08:    0.243
H09:    0.461
H10:    0.257
H11:    0.241
H12:    0.228

