Testname: FB_OD600scan_96well
Date: 12/8/2025  Time: 8:48:22 PM
ID1: P0000000028  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.173
A02:    0.129
A03:    0.16 
A04:    0.165
A05:    0.222
A06:    0.165
A07:    0.212
A08:    0.179
A09:    0.188
A10:    0.17 
A11:    0.186
A12:    0.165
B01:    0.117
B02:    0.143
B03:    0.144
B04:    0.168
B05:    0.173
B06:    0.147
B07:    0.141
B08:    0.212
B09:    0.194
B10:    0.185
B11:    0.182
B12:    0.139
C01:    0.158
C02:    0.129
C03:    0.225
C04:    0.151
C05:    0.126
C06:    0.169
C07:    0.137
C08:    0.169
C09:    0.211
C10:    0.134
C11:    0.166
C12:    0.148
D01:    0.147
D02:    0.104
D03:    0.157
D04:    0.144
D05:    0.153
D06:    0.161
D07:    0.152
D08:    0.14 
D09:    0.158
D10:    0.161
D11:    0.129
D12:    0.19 
E01:    0.122
E02:    0.141
E03:    0.145
E04:    0.231
E05:    0.147
E06:    0.157
E07:    0.149
E08:    0.146
E09:    0.148
E10:    0.153
E11:    0.177
E12:    0.171
F01:    0.1  
F02:    0.132
F03:    0.124
F04:    0.132
F05:    0.157
F06:    0.139
F07:    0.133
F08:    0.141
F09:    0.128
F10:    0.131
F11:    0.148
F12:    0.118
G01:    0.11 
G02:    0.113
G03:    0.125
G04:    0.101
G05:    0.138
G06:    0.14 
G07:    0.143
G08:    0.141
G09:    0.15 
G10:    0.146
G11:    0.157
G12:    0.148
H01:    0.085
H02:    0.123
H03:    0.064
H04:    0.105
H05:    0.107
H06:    0.128
H07:    0.135
H08:    0.139
H09:    0.138
H10:    0.132
H11:    0.101
H12:    0.103

