Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 4:56:09 AM
ID1: P0000000020  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.14 
A02:    0.261
A03:    0.212
A04:    0.213
A05:    0.188
A06:    0.255
A07:    0.248
A08:    0.368
A09:    0.208
A10:    0.376
A11:    0.354
A12:    0.119
B01:    0.307
B02:    0.314
B03:    0.151
B04:    0.166
B05:    0.452
B06:    0.468
B07:    0.236
B08:    0.232
B09:    0.277
B10:    0.324
B11:    0.41 
B12:    0.303
C01:    0.173
C02:    0.259
C03:    0.428
C04:    0.267
C05:    0.234
C06:    0.177
C07:    0.173
C08:    0.244
C09:    0.181
C10:    0.129
C11:    0.325
C12:    0.244
D01:    0.165
D02:    0.162
D03:    0.42 
D04:    0.22 
D05:    0.146
D06:    0.36 
D07:    0.228
D08:    0.266
D09:    0.404
D10:    0.132
D11:    0.144
D12:    0.166
E01:    0.152
E02:    0.121
E03:    0.473
E04:    0.466
E05:    0.345
E06:    0.351
E07:    0.425
E08:    0.232
E09:    0.233
E10:    0.127
E11:    0.36 
E12:    0.136
F01:    0.087
F02:    0.11 
F03:    0.139
F04:    0.508
F05:    0.237
F06:    0.272
F07:    0.156
F08:    0.262
F09:    0.464
F10:    0.159
F11:    0.268
F12:    0.125
G01:    0.184
G02:    0.154
G03:    0.121
G04:    0.133
G05:    0.151
G06:    0.139
G07:    0.224
G08:    0.257
G09:    0.158
G10:    0.225
G11:    0.137
G12:    0.129
H01:    0.167
H02:    0.327
H03:    0.392
H04:    0.137
H05:    0.396
H06:    0.155
H07:    0.236
H08:    0.243
H09:    0.159
H10:    0.289
H11:    0.14 
H12:    0.441

