Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 6:56:06 PM
ID1: P0000000006  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.316
A02:    0.328
A03:    0.328
A04:    0.378
A05:    0.301
A06:    0.394
A07:    0.298
A08:    0.48 
A09:    0.235
A10:    0.274
A11:    0.418
A12:    0.466
B01:    0.33 
B02:    0.359
B03:    0.262
B04:    0.311
B05:    0.37 
B06:    0.365
B07:    0.254
B08:    0.332
B09:    0.154
B10:    0.161
B11:    0.386
B12:    0.411
C01:    0.333
C02:    0.37 
C03:    0.284
C04:    0.194
C05:    0.299
C06:    0.165
C07:    0.181
C08:    0.286
C09:    0.15 
C10:    0.169
C11:    0.347
C12:    0.365
D01:    0.274
D02:    0.373
D03:    0.424
D04:    0.288
D05:    0.158
D06:    0.358
D07:    0.382
D08:    0.34 
D09:    0.428
D10:    0.178
D11:    0.265
D12:    0.29 
E01:    0.201
E02:    0.193
E03:    0.464
E04:    0.399
E05:    0.404
E06:    0.424
E07:    0.383
E08:    0.208
E09:    0.202
E10:    0.152
E11:    0.345
E12:    0.157
F01:    0.138
F02:    0.186
F03:    0.283
F04:    0.323
F05:    0.356
F06:    0.215
F07:    0.266
F08:    0.253
F09:    0.374
F10:    0.207
F11:    0.319
F12:    0.153
G01:    0.337
G02:    0.131
G03:    0.142
G04:    0.139
G05:    0.23 
G06:    0.145
G07:    0.401
G08:    0.301
G09:    0.412
G10:    0.263
G11:    0.145
G12:    0.15 
H01:    0.307
H02:    0.32 
H03:    0.394
H04:    0.144
H05:    0.311
H06:    0.143
H07:    0.346
H08:    0.335
H09:    0.17 
H10:    0.373
H11:    0.157
H12:    0.455

