Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 9:43:04 PM
ID1: P0000000024  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.148
A02:    0.598
A03:    0.248
A04:    0.519
A05:    0.432
A06:    0.488
A07:    0.599
A08:    0.197
A09:    0.244
A10:    0.461
A11:    0.525
A12:    0.261
B01:    0.558
B02:    0.611
B03:    0.485
B04:    0.622
B05:    0.603
B06:    0.26 
B07:    0.324
B08:    0.219
B09:    0.582
B10:    0.662
B11:    1.327
B12:    0.142
C01:    0.293
C02:    0.645
C03:    0.489
C04:    0.377
C05:    0.209
C06:    0.391
C07:    0.618
C08:    0.492
C09:    0.288
C10:    0.602
C11:    0.699
C12:    0.454
D01:    0.588
D02:    0.244
D03:    0.649
D04:    0.549
D05:    0.307
D06:    0.246
D07:    0.245
D08:    0.29 
D09:    0.429
D10:    0.903
D11:    0.383
D12:    0.167
E01:    0.14 
E02:    0.628
E03:    0.622
E04:    0.271
E05:    0.445
E06:    0.449
E07:    0.628
E08:    0.49 
E09:    0.559
E10:    0.424
E11:    0.265
E12:    0.339
F01:    0.172
F02:    0.427
F03:    0.515
F04:    0.564
F05:    0.457
F06:    0.443
F07:    0.574
F08:    0.426
F09:    0.551
F10:    0.337
F11:    0.337
F12:    0.413
G01:    0.398
G02:    0.738
G03:    0.582
G04:    0.474
G05:    0.212
G06:    0.83 
G07:    0.333
G08:    0.439
G09:    0.23 
G10:    0.631
G11:    0.481
G12:    0.433
H01:    0.609
H02:    0.701
H03:    0.255
H04:    0.377
H05:    0.608
H06:    0.152
H07:    0.289
H08:    0.321
H09:    0.346
H10:    0.312
H11:    0.507
H12:    0.458

