Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 11:16:07 AM
ID1: P0000000017  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.211
A02:    0.346
A03:    0.382
A04:    0.22 
A05:    0.248
A06:    0.318
A07:    0.315
A08:    0.446
A09:    0.229
A10:    0.345
A11:    0.411
A12:    0.213
B01:    0.445
B02:    0.45 
B03:    0.205
B04:    0.271
B05:    0.452
B06:    0.458
B07:    0.272
B08:    0.295
B09:    0.228
B10:    0.211
B11:    0.466
B12:    0.468
C01:    0.264
C02:    0.357
C03:    0.346
C04:    0.329
C05:    0.269
C06:    0.171
C07:    0.189
C08:    0.315
C09:    0.144
C10:    0.159
C11:    0.334
C12:    0.229
D01:    0.272
D02:    0.209
D03:    0.442
D04:    0.301
D05:    0.161
D06:    0.439
D07:    0.331
D08:    0.351
D09:    0.447
D10:    0.159
D11:    0.152
D12:    0.304
E01:    0.236
E02:    0.221
E03:    0.513
E04:    0.45 
E05:    0.41 
E06:    0.435
E07:    0.452
E08:    0.295
E09:    0.315
E10:    0.146
E11:    0.395
E12:    0.145
F01:    0.141
F02:    0.134
F03:    0.15 
F04:    0.405
F05:    0.189
F06:    0.248
F07:    0.29 
F08:    0.252
F09:    0.435
F10:    0.298
F11:    0.375
F12:    0.137
G01:    0.279
G02:    0.136
G03:    0.134
G04:    0.138
G05:    0.195
G06:    0.142
G07:    0.281
G08:    0.267
G09:    0.26 
G10:    0.252
G11:    0.145
G12:    0.15 
H01:    0.361
H02:    0.322
H03:    0.36 
H04:    0.144
H05:    0.359
H06:    0.138
H07:    0.216
H08:    0.246
H09:    0.156
H10:    0.296
H11:    0.15 
H12:    0.466

