Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 1:32:43 AM
ID1: P0000000026  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.211
A02:    0.203
A03:    0.212
A04:    0.199
A05:    0.318
A06:    0.209
A07:    0.26 
A08:    0.211
A09:    0.257
A10:    0.188
A11:    0.176
A12:    0.197
B01:    0.147
B02:    0.271
B03:    0.147
B04:    0.457
B05:    0.277
B06:    0.15 
B07:    0.154
B08:    0.26 
B09:    0.256
B10:    0.299
B11:    0.364
B12:    0.121
C01:    0.234
C02:    0.142
C03:    0.147
C04:    0.252
C05:    0.136
C06:    0.301
C07:    0.155
C08:    0.267
C09:    0.276
C10:    0.133
C11:    0.146
C12:    0.38 
D01:    0.336
D02:    0.151
D03:    0.3  
D04:    0.152
D05:    0.146
D06:    0.263
D07:    0.241
D08:    0.147
D09:    0.342
D10:    0.257
D11:    0.122
D12:    0.545
E01:    0.163
E02:    0.31 
E03:    0.23 
E04:    0.314
E05:    0.172
E06:    0.252
E07:    0.159
E08:    0.172
E09:    0.304
E10:    0.256
E11:    0.33 
E12:    0.271
F01:    0.136
F02:    0.265
F03:    0.265
F04:    0.151
F05:    0.229
F06:    0.15 
F07:    0.139
F08:    0.154
F09:    0.156
F10:    0.16 
F11:    0.14 
F12:    0.128
G01:    0.14 
G02:    0.229
G03:    0.136
G04:    0.17 
G05:    0.143
G06:    0.24 
G07:    0.314
G08:    0.122
G09:    0.156
G10:    0.174
G11:    0.172
G12:    0.527
H01:    0.125
H02:    0.198
H03:    0.144
H04:    0.276
H05:    0.227
H06:    0.137
H07:    0.148
H08:    0.137
H09:    0.171
H10:    0.144
H11:    0.136
H12:    0.145

