Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 12:18:25 AM
ID1: P0000000020  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.115
A02:    0.179
A03:    0.165
A04:    0.172
A05:    0.17 
A06:    0.17 
A07:    0.244
A08:    0.225
A09:    0.201
A10:    0.258
A11:    0.27 
A12:    0.176
B01:    0.224
B02:    0.224
B03:    0.133
B04:    0.158
B05:    0.525
B06:    0.517
B07:    0.152
B08:    0.206
B09:    0.182
B10:    0.201
B11:    0.182
B12:    0.179
C01:    0.147
C02:    0.239
C03:    0.188
C04:    0.154
C05:    0.159
C06:    0.171
C07:    0.155
C08:    0.262
C09:    0.17 
C10:    0.121
C11:    0.262
C12:    0.17 
D01:    0.173
D02:    0.158
D03:    0.209
D04:    0.16 
D05:    0.14 
D06:    0.251
D07:    0.221
D08:    0.16 
D09:    0.299
D10:    0.124
D11:    0.166
D12:    0.132
E01:    0.135
E02:    0.121
E03:    0.295
E04:    0.227
E05:    0.284
E06:    0.273
E07:    0.281
E08:    0.261
E09:    0.148
E10:    0.124
E11:    0.245
E12:    0.139
F01:    0.087
F02:    0.1  
F03:    0.13 
F04:    0.243
F05:    0.19 
F06:    0.17 
F07:    0.135
F08:    0.164
F09:    0.284
F10:    0.136
F11:    0.195
F12:    0.121
G01:    0.148
G02:    0.142
G03:    0.116
G04:    0.132
G05:    0.14 
G06:    0.136
G07:    0.17 
G08:    0.214
G09:    0.159
G10:    0.15 
G11:    0.14 
G12:    0.132
H01:    0.111
H02:    0.247
H03:    0.27 
H04:    0.128
H05:    0.372
H06:    0.145
H07:    0.154
H08:    0.282
H09:    0.166
H10:    0.283
H11:    0.144
H12:    0.274

