Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 4:10:47 AM
ID1: P0000000009  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.126
A02:    0.224
A03:    0.189
A04:    0.153
A05:    0.402
A06:    0.2  
A07:    0.374
A08:    0.197
A09:    0.211
A10:    0.194
A11:    0.431
A12:    0.156
B01:    0.178
B02:    0.353
B03:    0.473
B04:    0.22 
B05:    0.226
B06:    0.275
B07:    0.194
B08:    0.169
B09:    0.194
B10:    0.241
B11:    0.65 
B12:    0.155
C01:    0.159
C02:    0.22 
C03:    0.435
C04:    0.2  
C05:    0.147
C06:    0.464
C07:    0.505
C08:    0.508
C09:    0.299
C10:    0.529
C11:    0.263
C12:    0.527
D01:    0.177
D02:    0.166
D03:    0.239
D04:    0.219
D05:    0.247
D06:    0.201
D07:    0.246
D08:    0.251
D09:    0.284
D10:    0.145
D11:    0.247
D12:    0.134
E01:    0.107
E02:    0.321
E03:    0.51 
E04:    0.153
E05:    0.439
E06:    0.27 
E07:    0.236
E08:    0.314
E09:    0.286
E10:    0.53 
E11:    0.159
E12:    0.249
F01:    0.091
F02:    0.379
F03:    0.238
F04:    0.227
F05:    0.21 
F06:    0.31 
F07:    0.319
F08:    0.162
F09:    0.398
F10:    0.196
F11:    0.421
F12:    0.318
G01:    0.337
G02:    0.181
G03:    0.28 
G04:    0.401
G05:    0.137
G06:    0.381
G07:    0.151
G08:    0.163
G09:    0.166
G10:    0.29 
G11:    0.123
G12:    0.152
H01:    0.135
H02:    0.227
H03:    0.122
H04:    0.406
H05:    0.16 
H06:    0.134
H07:    0.151
H08:    0.284
H09:    0.171
H10:    0.155
H11:    0.435
H12:    0.124

