Testname: FB_OD600scan_96well
Date: 12/8/2025  Time: 11:47:52 PM
ID1: P0000000004  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.157
A02:    0.19 
A03:    0.202
A04:    0.18 
A05:    0.218
A06:    0.202
A07:    0.24 
A08:    0.242
A09:    0.223
A10:    0.299
A11:    0.293
A12:    0.198
B01:    0.25 
B02:    0.303
B03:    0.156
B04:    0.163
B05:    0.559
B06:    0.53 
B07:    0.156
B08:    0.194
B09:    0.172
B10:    0.206
B11:    0.205
B12:    0.152
C01:    0.158
C02:    0.261
C03:    0.279
C04:    0.2  
C05:    0.155
C06:    0.174
C07:    0.153
C08:    0.22 
C09:    0.155
C10:    0.142
C11:    0.263
C12:    0.234
D01:    0.2  
D02:    0.148
D03:    0.213
D04:    0.167
D05:    0.139
D06:    0.232
D07:    0.257
D08:    0.161
D09:    0.279
D10:    0.13 
D11:    0.154
D12:    0.13 
E01:    0.174
E02:    0.143
E03:    0.254
E04:    0.212
E05:    0.277
E06:    0.262
E07:    0.284
E08:    0.245
E09:    0.136
E10:    0.115
E11:    0.253
E12:    0.111
F01:    0.131
F02:    0.136
F03:    0.142
F04:    0.241
F05:    0.162
F06:    0.161
F07:    0.142
F08:    0.149
F09:    0.284
F10:    0.129
F11:    0.166
F12:    0.134
G01:    0.23 
G02:    0.127
G03:    0.13 
G04:    0.132
G05:    0.134
G06:    0.127
G07:    0.143
G08:    0.264
G09:    0.14 
G10:    0.13 
G11:    0.147
G12:    0.121
H01:    0.127
H02:    0.189
H03:    0.282
H04:    0.13 
H05:    0.365
H06:    0.147
H07:    0.148
H08:    0.272
H09:    0.156
H10:    0.191
H11:    0.13 
H12:    0.245

