Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 4:05:58 AM
ID1: P0000000020  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.291
A02:    0.358
A03:    0.341
A04:    0.413
A05:    0.259
A06:    0.394
A07:    0.325
A08:    0.46 
A09:    0.238
A10:    0.277
A11:    0.398
A12:    0.386
B01:    0.373
B02:    0.377
B03:    0.295
B04:    0.301
B05:    0.444
B06:    0.43 
B07:    0.242
B08:    0.369
B09:    0.224
B10:    0.239
B11:    0.417
B12:    0.439
C01:    0.358
C02:    0.416
C03:    0.311
C04:    0.295
C05:    0.308
C06:    0.169
C07:    0.189
C08:    0.289
C09:    0.176
C10:    0.183
C11:    0.326
C12:    0.285
D01:    0.285
D02:    0.436
D03:    0.447
D04:    0.288
D05:    0.145
D06:    0.479
D07:    0.391
D08:    0.383
D09:    0.438
D10:    0.141
D11:    0.212
D12:    0.221
E01:    0.228
E02:    0.235
E03:    0.494
E04:    0.432
E05:    0.399
E06:    0.397
E07:    0.501
E08:    0.252
E09:    0.313
E10:    0.161
E11:    0.384
E12:    0.145
F01:    0.094
F02:    0.238
F03:    0.233
F04:    0.348
F05:    0.407
F06:    0.211
F07:    0.271
F08:    0.282
F09:    0.423
F10:    0.227
F11:    0.381
F12:    0.141
G01:    0.298
G02:    0.107
G03:    0.173
G04:    0.151
G05:    0.267
G06:    0.194
G07:    0.493
G08:    0.289
G09:    0.443
G10:    0.237
G11:    0.142
G12:    0.151
H01:    0.281
H02:    0.294
H03:    0.369
H04:    0.15 
H05:    0.339
H06:    0.144
H07:    0.255
H08:    0.324
H09:    0.148
H10:    0.378
H11:    0.148
H12:    0.476

