Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 7:17:12 PM
ID1: P0000000025  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.321
A02:    0.488
A03:    0.452
A04:    0.39 
A05:    0.494
A06:    0.543
A07:    0.56 
A08:    0.42 
A09:    0.469
A10:    0.221
A11:    0.262
A12:    0.201
B01:    0.242
B02:    0.488
B03:    0.534
B04:    0.458
B05:    0.496
B06:    0.441
B07:    0.155
B08:    0.461
B09:    0.497
B10:    0.465
B11:    0.445
B12:    0.236
C01:    0.426
C02:    0.241
C03:    0.325
C04:    0.403
C05:    0.198
C06:    0.526
C07:    0.139
C08:    0.301
C09:    0.331
C10:    0.492
C11:    0.271
C12:    0.468
D01:    0.465
D02:    0.154
D03:    0.24 
D04:    0.405
D05:    0.473
D06:    0.517
D07:    0.492
D08:    0.159
D09:    0.403
D10:    0.485
D11:    0.252
D12:    0.551
E01:    0.331
E02:    0.44 
E03:    0.442
E04:    0.383
E05:    0.392
E06:    0.45 
E07:    0.425
E08:    0.367
E09:    0.449
E10:    0.434
E11:    0.459
E12:    0.54 
F01:    0.383
F02:    0.416
F03:    0.418
F04:    0.465
F05:    0.46 
F06:    0.513
F07:    0.284
F08:    0.362
F09:    0.389
F10:    0.351
F11:    0.515
F12:    0.392
G01:    0.449
G02:    0.431
G03:    0.203
G04:    0.469
G05:    0.33 
G06:    0.429
G07:    0.707
G08:    0.147
G09:    0.481
G10:    0.595
G11:    0.45 
G12:    0.501
H01:    0.232
H02:    0.313
H03:    0.263
H04:    0.427
H05:    0.354
H06:    0.384
H07:    0.324
H08:    0.314
H09:    0.487
H10:    0.32 
H11:    0.312
H12:    0.304

