Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 5:08:31 PM
ID1: P0000000011  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.317
A02:    0.476
A03:    0.425
A04:    0.384
A05:    0.484
A06:    0.519
A07:    0.517
A08:    0.419
A09:    0.459
A10:    0.226
A11:    0.322
A12:    0.22 
B01:    0.194
B02:    0.489
B03:    0.544
B04:    0.457
B05:    0.496
B06:    0.43 
B07:    0.199
B08:    0.446
B09:    0.474
B10:    0.469
B11:    0.435
B12:    0.262
C01:    0.46 
C02:    0.246
C03:    0.34 
C04:    0.427
C05:    0.266
C06:    0.527
C07:    0.179
C08:    0.314
C09:    0.334
C10:    0.467
C11:    0.268
C12:    0.51 
D01:    0.476
D02:    0.162
D03:    0.238
D04:    0.363
D05:    0.479
D06:    0.524
D07:    0.494
D08:    0.144
D09:    0.423
D10:    0.463
D11:    0.262
D12:    0.532
E01:    0.355
E02:    0.444
E03:    0.446
E04:    0.389
E05:    0.401
E06:    0.445
E07:    0.423
E08:    0.385
E09:    0.454
E10:    0.467
E11:    0.493
E12:    0.496
F01:    0.314
F02:    0.405
F03:    0.412
F04:    0.457
F05:    0.459
F06:    0.511
F07:    0.281
F08:    0.372
F09:    0.397
F10:    0.359
F11:    0.485
F12:    0.399
G01:    0.433
G02:    0.437
G03:    0.113
G04:    0.488
G05:    0.339
G06:    0.426
G07:    0.697
G08:    0.153
G09:    0.49 
G10:    0.612
G11:    0.467
G12:    0.49 
H01:    0.18 
H02:    0.293
H03:    0.101
H04:    0.378
H05:    0.363
H06:    0.333
H07:    0.313
H08:    0.354
H09:    0.478
H10:    0.311
H11:    0.297
H12:    0.271

