Testname: FB_OD600scan_96well
Date: 12/8/2025  Time: 8:21:18 PM
ID1: P0000000011  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.106
A02:    0.143
A03:    0.138
A04:    0.175
A05:    0.186
A06:    0.177
A07:    0.181
A08:    0.152
A09:    0.18 
A10:    0.183
A11:    0.201
A12:    0.182
B01:    0.127
B02:    0.154
B03:    0.147
B04:    0.157
B05:    0.152
B06:    0.142
B07:    0.118
B08:    0.145
B09:    0.162
B10:    0.129
B11:    0.188
B12:    0.153
C01:    0.156
C02:    0.11 
C03:    0.117
C04:    0.144
C05:    0.149
C06:    0.16 
C07:    0.149
C08:    0.171
C09:    0.198
C10:    0.122
C11:    0.18 
C12:    0.173
D01:    0.148
D02:    0.113
D03:    0.161
D04:    0.143
D05:    0.151
D06:    0.157
D07:    0.164
D08:    0.134
D09:    0.167
D10:    0.151
D11:    0.132
D12:    0.19 
E01:    0.139
E02:    0.133
E03:    0.148
E04:    0.215
E05:    0.116
E06:    0.155
E07:    0.127
E08:    0.107
E09:    0.161
E10:    0.157
E11:    0.186
E12:    0.179
F01:    0.096
F02:    0.117
F03:    0.117
F04:    0.119
F05:    0.138
F06:    0.119
F07:    0.123
F08:    0.103
F09:    0.131
F10:    0.128
F11:    0.135
F12:    0.126
G01:    0.093
G02:    0.143
G03:    0.17 
G04:    0.095
G05:    0.128
G06:    0.137
G07:    0.137
G08:    0.119
G09:    0.128
G10:    0.131
G11:    0.144
G12:    0.148
H01:    0.079
H02:    0.111
H03:    0.066
H04:    0.145
H05:    0.103
H06:    0.12 
H07:    0.123
H08:    0.13 
H09:    0.144
H10:    0.132
H11:    0.12 
H12:    0.112

