Testname: FB_OD600scan_96well
Date: 12/8/2025  Time: 4:07:19 PM
ID1: P0000000003  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.166
A02:    0.166
A03:    0.155
A04:    0.169
A05:    0.151
A06:    0.169
A07:    0.161
A08:    0.184
A09:    0.169
A10:    0.167
A11:    0.189
A12:    0.148
B01:    0.142
B02:    0.096
B03:    0.1  
B04:    0.099
B05:    0.102
B06:    0.104
B07:    0.096
B08:    0.096
B09:    0.101
B10:    0.099
B11:    0.097
B12:    0.145
C01:    0.119
C02:    0.143
C03:    0.128
C04:    0.139
C05:    0.107
C06:    0.125
C07:    0.114
C08:    0.141
C09:    0.106
C10:    0.111
C11:    0.137
C12:    0.128
D01:    0.107
D02:    0.114
D03:    0.108
D04:    0.105
D05:    0.106
D06:    0.115
D07:    0.126
D08:    0.116
D09:    0.106
D10:    0.114
D11:    0.126
D12:    0.112
E01:    0.128
E02:    0.137
E03:    0.096
E04:    0.095
E05:    0.113
E06:    0.105
E07:    0.104
E08:    0.105
E09:    0.118
E10:    0.117
E11:    0.142
E12:    0.121
F01:    0.106
F02:    0.105
F03:    0.104
F04:    0.112
F05:    0.119
F06:    0.108
F07:    0.103
F08:    0.105
F09:    0.106
F10:    0.104
F11:    0.103
F12:    0.106
G01:    0.106
G02:    0.117
G03:    0.132
G04:    0.127
G05:    0.107
G06:    0.107
G07:    0.104
G08:    0.108
G09:    0.106
G10:    0.124
G11:    0.119
G12:    0.104
H01:    0.115
H02:    0.109
H03:    0.109
H04:    0.098
H05:    0.113
H06:    0.099
H07:    0.113
H08:    0.113
H09:    0.105
H10:    0.098
H11:    0.113
H12:    0.104

