Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 6:09:13 PM
ID1: P0000000017  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.336
A02:    0.362
A03:    0.363
A04:    0.378
A05:    0.278
A06:    0.424
A07:    0.381
A08:    0.467
A09:    0.266
A10:    0.272
A11:    0.388
A12:    0.254
B01:    0.389
B02:    0.346
B03:    0.243
B04:    0.31 
B05:    0.352
B06:    0.371
B07:    0.231
B08:    0.329
B09:    0.207
B10:    0.215
B11:    0.415
B12:    0.486
C01:    0.387
C02:    0.382
C03:    0.283
C04:    0.3  
C05:    0.297
C06:    0.176
C07:    0.18 
C08:    0.316
C09:    0.157
C10:    0.237
C11:    0.325
C12:    0.348
D01:    0.333
D02:    0.215
D03:    0.461
D04:    0.309
D05:    0.154
D06:    0.407
D07:    0.378
D08:    0.401
D09:    0.408
D10:    0.19 
D11:    0.332
D12:    0.281
E01:    0.222
E02:    0.189
E03:    0.453
E04:    0.442
E05:    0.403
E06:    0.398
E07:    0.404
E08:    0.266
E09:    0.265
E10:    0.265
E11:    0.365
E12:    0.144
F01:    0.149
F02:    0.214
F03:    0.277
F04:    0.33 
F05:    0.345
F06:    0.212
F07:    0.272
F08:    0.255
F09:    0.408
F10:    0.325
F11:    0.33 
F12:    0.162
G01:    0.307
G02:    0.139
G03:    0.198
G04:    0.148
G05:    0.237
G06:    0.141
G07:    0.426
G08:    0.281
G09:    0.401
G10:    0.244
G11:    0.159
G12:    0.153
H01:    0.353
H02:    0.347
H03:    0.392
H04:    0.151
H05:    0.319
H06:    0.135
H07:    0.31 
H08:    0.318
H09:    0.274
H10:    0.352
H11:    0.15 
H12:    0.489

