Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 12:36:15 AM
ID1: P0000000028  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.257
A02:    0.473
A03:    0.447
A04:    0.323
A05:    0.507
A06:    0.57 
A07:    0.503
A08:    0.437
A09:    0.47 
A10:    0.242
A11:    0.244
A12:    0.194
B01:    0.161
B02:    0.498
B03:    0.549
B04:    0.478
B05:    0.524
B06:    0.478
B07:    0.21 
B08:    0.502
B09:    0.521
B10:    0.476
B11:    0.523
B12:    0.213
C01:    0.451
C02:    0.175
C03:    0.343
C04:    0.316
C05:    0.163
C06:    0.587
C07:    0.183
C08:    0.316
C09:    0.344
C10:    0.395
C11:    0.204
C12:    0.487
D01:    0.545
D02:    0.133
D03:    0.559
D04:    0.391
D05:    0.435
D06:    0.52 
D07:    0.474
D08:    0.157
D09:    0.57 
D10:    0.501
D11:    0.247
D12:    0.514
E01:    0.439
E02:    0.491
E03:    0.441
E04:    0.385
E05:    0.391
E06:    0.485
E07:    0.311
E08:    0.428
E09:    0.472
E10:    0.452
E11:    0.485
E12:    0.519
F01:    0.223
F02:    0.421
F03:    0.444
F04:    0.409
F05:    0.501
F06:    0.495
F07:    0.316
F08:    0.378
F09:    0.448
F10:    0.38 
F11:    0.591
F12:    0.377
G01:    0.43 
G02:    0.479
G03:    0.132
G04:    0.452
G05:    0.334
G06:    0.43 
G07:    0.714
G08:    0.166
G09:    0.48 
G10:    0.605
G11:    0.526
G12:    0.524
H01:    0.159
H02:    0.355
H03:    0.096
H04:    0.411
H05:    0.208
H06:    0.31 
H07:    0.328
H08:    0.303
H09:    0.528
H10:    0.334
H11:    0.161
H12:    0.11 

