Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 10:51:26 PM
ID1: P0000000006  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.369
A02:    0.344
A03:    0.341
A04:    0.397
A05:    0.292
A06:    0.442
A07:    0.31 
A08:    0.438
A09:    0.238
A10:    0.294
A11:    0.412
A12:    0.477
B01:    0.394
B02:    0.384
B03:    0.235
B04:    0.319
B05:    0.428
B06:    0.428
B07:    0.264
B08:    0.362
B09:    0.23 
B10:    0.197
B11:    0.405
B12:    0.459
C01:    0.378
C02:    0.411
C03:    0.321
C04:    0.201
C05:    0.314
C06:    0.157
C07:    0.183
C08:    0.285
C09:    0.14 
C10:    0.163
C11:    0.341
C12:    0.332
D01:    0.315
D02:    0.258
D03:    0.448
D04:    0.277
D05:    0.156
D06:    0.474
D07:    0.392
D08:    0.379
D09:    0.44 
D10:    0.148
D11:    0.222
D12:    0.221
E01:    0.232
E02:    0.242
E03:    0.527
E04:    0.422
E05:    0.443
E06:    0.453
E07:    0.444
E08:    0.183
E09:    0.288
E10:    0.148
E11:    0.345
E12:    0.148
F01:    0.135
F02:    0.265
F03:    0.21 
F04:    0.346
F05:    0.424
F06:    0.23 
F07:    0.284
F08:    0.266
F09:    0.424
F10:    0.276
F11:    0.378
F12:    0.148
G01:    0.319
G02:    0.136
G03:    0.136
G04:    0.141
G05:    0.256
G06:    0.166
G07:    0.506
G08:    0.303
G09:    0.447
G10:    0.266
G11:    0.144
G12:    0.152
H01:    0.272
H02:    0.303
H03:    0.362
H04:    0.144
H05:    0.325
H06:    0.146
H07:    0.279
H08:    0.315
H09:    0.165
H10:    0.358
H11:    0.152
H12:    0.425

