Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 11:37:24 AM
ID1: P0000000024  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.139
A02:    0.547
A03:    0.357
A04:    0.498
A05:    0.41 
A06:    0.502
A07:    0.583
A08:    0.301
A09:    0.24 
A10:    0.512
A11:    0.485
A12:    0.253
B01:    0.627
B02:    0.603
B03:    0.487
B04:    0.569
B05:    0.596
B06:    0.24 
B07:    0.332
B08:    0.203
B09:    0.495
B10:    0.634
B11:    1.047
B12:    0.152
C01:    0.449
C02:    0.56 
C03:    0.445
C04:    0.365
C05:    0.219
C06:    0.35 
C07:    0.601
C08:    0.458
C09:    0.284
C10:    0.588
C11:    0.589
C12:    0.465
D01:    0.446
D02:    0.344
D03:    0.668
D04:    0.518
D05:    0.321
D06:    0.234
D07:    0.246
D08:    0.323
D09:    0.484
D10:    0.57 
D11:    0.349
D12:    0.307
E01:    0.147
E02:    0.603
E03:    0.582
E04:    0.297
E05:    0.455
E06:    0.461
E07:    0.532
E08:    0.484
E09:    0.532
E10:    0.411
E11:    0.332
E12:    0.365
F01:    0.251
F02:    0.411
F03:    0.491
F04:    0.541
F05:    0.45 
F06:    0.44 
F07:    0.545
F08:    0.41 
F09:    0.535
F10:    0.361
F11:    0.334
F12:    0.381
G01:    0.39 
G02:    0.692
G03:    0.55 
G04:    0.459
G05:    0.234
G06:    0.937
G07:    0.398
G08:    0.76 
G09:    0.281
G10:    0.652
G11:    0.41 
G12:    0.406
H01:    0.572
H02:    0.695
H03:    0.267
H04:    0.366
H05:    0.563
H06:    0.152
H07:    0.306
H08:    0.379
H09:    0.364
H10:    0.475
H11:    0.52 
H12:    0.484

