Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 5:44:38 PM
ID1: P0000000025  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.322
A02:    0.483
A03:    0.451
A04:    0.387
A05:    0.494
A06:    0.541
A07:    0.563
A08:    0.439
A09:    0.475
A10:    0.222
A11:    0.326
A12:    0.224
B01:    0.234
B02:    0.486
B03:    0.536
B04:    0.46 
B05:    0.498
B06:    0.439
B07:    0.147
B08:    0.464
B09:    0.504
B10:    0.469
B11:    0.456
B12:    0.239
C01:    0.419
C02:    0.239
C03:    0.33 
C04:    0.416
C05:    0.204
C06:    0.529
C07:    0.14 
C08:    0.298
C09:    0.331
C10:    0.504
C11:    0.263
C12:    0.467
D01:    0.471
D02:    0.157
D03:    0.244
D04:    0.411
D05:    0.478
D06:    0.511
D07:    0.487
D08:    0.162
D09:    0.411
D10:    0.514
D11:    0.245
D12:    0.555
E01:    0.332
E02:    0.441
E03:    0.439
E04:    0.381
E05:    0.392
E06:    0.449
E07:    0.423
E08:    0.369
E09:    0.45 
E10:    0.436
E11:    0.465
E12:    0.592
F01:    0.382
F02:    0.416
F03:    0.415
F04:    0.444
F05:    0.461
F06:    0.502
F07:    0.287
F08:    0.361
F09:    0.392
F10:    0.351
F11:    0.511
F12:    0.382
G01:    0.45 
G02:    0.426
G03:    0.199
G04:    0.477
G05:    0.335
G06:    0.431
G07:    0.702
G08:    0.152
G09:    0.475
G10:    0.605
G11:    0.45 
G12:    0.494
H01:    0.231
H02:    0.312
H03:    0.266
H04:    0.428
H05:    0.353
H06:    0.386
H07:    0.311
H08:    0.302
H09:    0.488
H10:    0.318
H11:    0.309
H12:    0.303

