Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 10:15:17 AM
ID1: P0000000011  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.274
A02:    0.304
A03:    0.433
A04:    0.293
A05:    0.694
A06:    0.362
A07:    0.436
A08:    0.366
A09:    0.387
A10:    0.277
A11:    0.221
A12:    0.158
B01:    0.128
B02:    0.428
B03:    0.522
B04:    0.508
B05:    0.5  
B06:    0.207
B07:    0.177
B08:    0.484
B09:    0.537
B10:    0.431
B11:    0.438
B12:    0.17 
C01:    0.451
C02:    0.139
C03:    0.257
C04:    0.307
C05:    0.155
C06:    0.672
C07:    0.165
C08:    0.356
C09:    0.363
C10:    0.31 
C11:    0.142
C12:    0.46 
D01:    0.532
D02:    0.132
D03:    0.699
D04:    0.213
D05:    0.303
D06:    0.51 
D07:    0.433
D08:    0.145
D09:    0.642
D10:    0.453
D11:    0.173
D12:    0.588
E01:    0.361
E02:    0.499
E03:    0.302
E04:    0.422
E05:    0.462
E06:    0.537
E07:    0.258
E08:    0.472
E09:    0.521
E10:    0.405
E11:    0.478
E12:    0.531
F01:    0.113
F02:    0.433
F03:    0.425
F04:    0.45 
F05:    0.349
F06:    0.181
F07:    0.222
F08:    0.318
F09:    0.488
F10:    0.321
F11:    0.249
F12:    0.239
G01:    0.344
G02:    0.239
G03:    0.102
G04:    0.264
G05:    0.24 
G06:    0.318
G07:    0.62 
G08:    0.148
G09:    0.291
G10:    0.57 
G11:    0.45 
G12:    0.497
H01:    0.087
H02:    0.293
H03:    0.072
H04:    0.387
H05:    0.203
H06:    0.169
H07:    0.273
H08:    0.276
H09:    0.433
H10:    0.189
H11:    0.148
H12:    0.153

