Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 9:18:44 AM
ID1: P0000000025  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.212
A02:    0.311
A03:    0.321
A04:    0.26 
A05:    0.675
A06:    0.344
A07:    0.38 
A08:    0.318
A09:    0.356
A10:    0.218
A11:    0.194
A12:    0.19 
B01:    0.15 
B02:    0.379
B03:    0.527
B04:    0.5  
B05:    0.511
B06:    0.151
B07:    0.169
B08:    0.488
B09:    0.547
B10:    0.455
B11:    0.422
B12:    0.144
C01:    0.418
C02:    0.148
C03:    0.174
C04:    0.215
C05:    0.164
C06:    0.72 
C07:    0.156
C08:    0.338
C09:    0.338
C10:    0.198
C11:    0.164
C12:    0.478
D01:    0.528
D02:    0.144
D03:    0.693
D04:    0.254
D05:    0.209
D06:    0.477
D07:    0.428
D08:    0.153
D09:    0.604
D10:    0.422
D11:    0.168
D12:    0.471
E01:    0.268
E02:    0.496
E03:    0.28 
E04:    0.452
E05:    0.318
E06:    0.546
E07:    0.244
E08:    0.313
E09:    0.518
E10:    0.387
E11:    0.436
E12:    0.466
F01:    0.174
F02:    0.431
F03:    0.438
F04:    0.454
F05:    0.308
F06:    0.161
F07:    0.214
F08:    0.243
F09:    0.374
F10:    0.295
F11:    0.288
F12:    0.154
G01:    0.281
G02:    0.264
G03:    0.132
G04:    0.232
G05:    0.21 
G06:    0.308
G07:    0.536
G08:    0.148
G09:    0.307
G10:    0.489
G11:    0.504
G12:    0.517
H01:    0.138
H02:    0.297
H03:    0.142
H04:    0.394
H05:    0.265
H06:    0.155
H07:    0.275
H08:    0.243
H09:    0.419
H10:    0.192
H11:    0.178
H12:    0.146

