Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 4:19:52 PM
ID1: P0000000014  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.261
A02:    0.401
A03:    0.419
A04:    0.401
A05:    0.566
A06:    0.687
A07:    0.537
A08:    0.4  
A09:    0.458
A10:    0.297
A11:    0.233
A12:    0.184
B01:    0.152
B02:    0.473
B03:    0.481
B04:    0.514
B05:    0.543
B06:    0.312
B07:    0.142
B08:    0.512
B09:    0.5  
B10:    0.472
B11:    0.433
B12:    0.199
C01:    0.438
C02:    0.162
C03:    0.273
C04:    0.261
C05:    0.163
C06:    0.627
C07:    0.184
C08:    0.347
C09:    0.339
C10:    0.308
C11:    0.16 
C12:    0.502
D01:    0.555
D02:    0.148
D03:    0.602
D04:    0.4  
D05:    0.47 
D06:    0.497
D07:    0.415
D08:    0.155
D09:    0.592
D10:    0.54 
D11:    0.246
D12:    0.656
E01:    0.37 
E02:    0.483
E03:    0.38 
E04:    0.378
E05:    0.453
E06:    0.508
E07:    0.281
E08:    0.454
E09:    0.469
E10:    0.447
E11:    0.476
E12:    0.511
F01:    0.166
F02:    0.451
F03:    0.406
F04:    0.427
F05:    0.479
F06:    0.256
F07:    0.35 
F08:    0.403
F09:    0.46 
F10:    0.359
F11:    0.469
F12:    0.328
G01:    0.423
G02:    0.366
G03:    0.148
G04:    0.493
G05:    0.357
G06:    0.36 
G07:    0.658
G08:    0.152
G09:    0.496
G10:    0.538
G11:    0.497
G12:    0.512
H01:    0.128
H02:    0.336
H03:    0.195
H04:    0.383
H05:    0.181
H06:    0.292
H07:    0.336
H08:    0.266
H09:    0.504
H10:    0.276
H11:    0.247
H12:    0.14 

