Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 1:29:42 AM
ID1: P0000000027  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.134
A02:    0.214
A03:    0.215
A04:    0.197
A05:    0.298
A06:    0.236
A07:    0.238
A08:    0.204
A09:    0.317
A10:    0.207
A11:    0.203
A12:    0.177
B01:    0.14 
B02:    0.259
B03:    0.145
B04:    0.338
B05:    0.254
B06:    0.144
B07:    0.152
B08:    0.251
B09:    0.235
B10:    0.302
B11:    0.308
B12:    0.158
C01:    0.184
C02:    0.136
C03:    0.152
C04:    0.246
C05:    0.146
C06:    0.309
C07:    0.148
C08:    0.306
C09:    0.289
C10:    0.161
C11:    0.165
C12:    0.359
D01:    0.323
D02:    0.151
D03:    0.308
D04:    0.166
D05:    0.158
D06:    0.23 
D07:    0.239
D08:    0.143
D09:    0.342
D10:    0.26 
D11:    0.18 
D12:    0.464
E01:    0.154
E02:    0.285
E03:    0.227
E04:    0.273
E05:    0.169
E06:    0.247
E07:    0.159
E08:    0.167
E09:    0.297
E10:    0.254
E11:    0.335
E12:    0.249
F01:    0.138
F02:    0.275
F03:    0.244
F04:    0.25 
F05:    0.233
F06:    0.149
F07:    0.145
F08:    0.143
F09:    0.151
F10:    0.148
F11:    0.143
F12:    0.149
G01:    0.135
G02:    0.201
G03:    0.135
G04:    0.148
G05:    0.143
G06:    0.24 
G07:    0.292
G08:    0.149
G09:    0.156
G10:    0.173
G11:    0.234
G12:    0.575
H01:    0.138
H02:    0.173
H03:    0.141
H04:    0.284
H05:    0.246
H06:    0.15 
H07:    0.153
H08:    0.147
H09:    0.166
H10:    0.172
H11:    0.137
H12:    0.137

