Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 3:11:41 AM
ID1: P0000000012  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.264
A02:    0.442
A03:    0.449
A04:    0.365
A05:    0.486
A06:    0.556
A07:    0.506
A08:    0.409
A09:    0.461
A10:    0.247
A11:    0.266
A12:    0.18 
B01:    0.187
B02:    0.497
B03:    0.448
B04:    0.493
B05:    0.51 
B06:    0.522
B07:    0.214
B08:    0.473
B09:    0.495
B10:    0.457
B11:    0.49 
B12:    0.179
C01:    0.432
C02:    0.247
C03:    0.311
C04:    0.433
C05:    0.156
C06:    0.541
C07:    0.183
C08:    0.31 
C09:    0.329
C10:    0.517
C11:    0.232
C12:    0.5  
D01:    0.474
D02:    0.152
D03:    0.396
D04:    0.563
D05:    0.465
D06:    0.522
D07:    0.464
D08:    0.153
D09:    0.481
D10:    0.488
D11:    0.275
D12:    0.516
E01:    0.359
E02:    0.463
E03:    0.442
E04:    0.38 
E05:    0.395
E06:    0.454
E07:    0.424
E08:    0.415
E09:    0.453
E10:    0.444
E11:    0.485
E12:    0.534
F01:    0.358
F02:    0.411
F03:    0.415
F04:    0.471
F05:    0.478
F06:    0.519
F07:    0.325
F08:    0.371
F09:    0.394
F10:    0.353
F11:    0.512
F12:    0.349
G01:    0.458
G02:    0.433
G03:    0.234
G04:    0.507
G05:    0.302
G06:    0.429
G07:    0.667
G08:    0.166
G09:    0.454
G10:    0.588
G11:    0.458
G12:    0.495
H01:    0.23 
H02:    0.294
H03:    0.254
H04:    0.412
H05:    0.258
H06:    0.303
H07:    0.309
H08:    0.31 
H09:    0.476
H10:    0.314
H11:    0.32 
H12:    0.311

