Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 9:00:35 AM
ID1: P0000000005  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.175
A02:    0.335
A03:    0.436
A04:    0.233
A05:    0.254
A06:    0.301
A07:    0.319
A08:    0.461
A09:    0.242
A10:    0.335
A11:    0.397
A12:    0.287
B01:    0.412
B02:    0.43 
B03:    0.199
B04:    0.267
B05:    0.447
B06:    0.46 
B07:    0.27 
B08:    0.296
B09:    0.306
B10:    0.218
B11:    0.458
B12:    0.47 
C01:    0.243
C02:    0.325
C03:    0.338
C04:    0.204
C05:    0.298
C06:    0.153
C07:    0.187
C08:    0.304
C09:    0.145
C10:    0.17 
C11:    0.347
C12:    0.232
D01:    0.247
D02:    0.239
D03:    0.445
D04:    0.297
D05:    0.166
D06:    0.451
D07:    0.323
D08:    0.268
D09:    0.454
D10:    0.154
D11:    0.161
D12:    0.298
E01:    0.16 
E02:    0.164
E03:    0.496
E04:    0.459
E05:    0.39 
E06:    0.376
E07:    0.488
E08:    0.199
E09:    0.238
E10:    0.14 
E11:    0.378
E12:    0.146
F01:    0.137
F02:    0.142
F03:    0.15 
F04:    0.382
F05:    0.212
F06:    0.232
F07:    0.299
F08:    0.259
F09:    0.452
F10:    0.213
F11:    0.384
F12:    0.136
G01:    0.27 
G02:    0.134
G03:    0.139
G04:    0.136
G05:    0.198
G06:    0.164
G07:    0.331
G08:    0.259
G09:    0.215
G10:    0.231
G11:    0.147
G12:    0.151
H01:    0.249
H02:    0.317
H03:    0.37 
H04:    0.139
H05:    0.371
H06:    0.148
H07:    0.23 
H08:    0.257
H09:    0.147
H10:    0.311
H11:    0.182
H12:    0.423

