Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 11:00:30 PM
ID1: P0000000003  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.388
A02:    0.399
A03:    0.338
A04:    0.245
A05:    0.287
A06:    0.437
A07:    0.366
A08:    0.482
A09:    0.211
A10:    0.297
A11:    0.387
A12:    0.199
B01:    0.436
B02:    0.402
B03:    0.294
B04:    0.328
B05:    0.452
B06:    0.45 
B07:    0.255
B08:    0.342
B09:    0.241
B10:    0.252
B11:    0.413
B12:    0.424
C01:    0.385
C02:    0.42 
C03:    0.32 
C04:    0.301
C05:    0.315
C06:    0.147
C07:    0.164
C08:    0.3  
C09:    0.139
C10:    0.145
C11:    0.319
C12:    0.333
D01:    0.3  
D02:    0.194
D03:    0.447
D04:    0.282
D05:    0.149
D06:    0.491
D07:    0.39 
D08:    0.407
D09:    0.417
D10:    0.157
D11:    0.211
D12:    0.248
E01:    0.248
E02:    0.24 
E03:    0.525
E04:    0.457
E05:    0.421
E06:    0.43 
E07:    0.482
E08:    0.242
E09:    0.297
E10:    0.135
E11:    0.39 
E12:    0.134
F01:    0.126
F02:    0.281
F03:    0.21 
F04:    0.386
F05:    0.445
F06:    0.221
F07:    0.297
F08:    0.252
F09:    0.409
F10:    0.295
F11:    0.376
F12:    0.137
G01:    0.307
G02:    0.133
G03:    0.132
G04:    0.134
G05:    0.226
G06:    0.134
G07:    0.466
G08:    0.32 
G09:    0.459
G10:    0.299
G11:    0.14 
G12:    0.14 
H01:    0.303
H02:    0.317
H03:    0.38 
H04:    0.137
H05:    0.35 
H06:    0.136
H07:    0.266
H08:    0.312
H09:    0.148
H10:    0.354
H11:    0.135
H12:    0.54 

