Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 2:21:12 AM
ID1: P0000000024  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.151
A02:    0.561
A03:    0.257
A04:    0.484
A05:    0.416
A06:    0.484
A07:    0.588
A08:    0.218
A09:    0.234
A10:    0.612
A11:    0.503
A12:    0.286
B01:    0.531
B02:    0.61 
B03:    0.484
B04:    0.58 
B05:    0.602
B06:    0.284
B07:    0.327
B08:    0.216
B09:    0.548
B10:    0.655
B11:    1.403
B12:    0.137
C01:    0.364
C02:    0.648
C03:    0.483
C04:    0.378
C05:    0.228
C06:    0.39 
C07:    0.601
C08:    0.487
C09:    0.287
C10:    0.589
C11:    0.655
C12:    0.452
D01:    0.544
D02:    0.27 
D03:    0.655
D04:    0.529
D05:    0.318
D06:    0.241
D07:    0.245
D08:    0.312
D09:    0.461
D10:    0.614
D11:    0.379
D12:    0.287
E01:    0.142
E02:    0.61 
E03:    0.611
E04:    0.291
E05:    0.442
E06:    0.453
E07:    0.586
E08:    0.486
E09:    0.558
E10:    0.419
E11:    0.323
E12:    0.367
F01:    0.23 
F02:    0.422
F03:    0.523
F04:    0.555
F05:    0.465
F06:    0.442
F07:    0.554
F08:    0.451
F09:    0.536
F10:    0.359
F11:    0.33 
F12:    0.395
G01:    0.387
G02:    0.756
G03:    0.579
G04:    0.468
G05:    0.259
G06:    0.871
G07:    0.37 
G08:    0.648
G09:    0.257
G10:    0.661
G11:    0.451
G12:    0.414
H01:    0.571
H02:    0.685
H03:    0.255
H04:    0.348
H05:    0.573
H06:    0.154
H07:    0.315
H08:    0.375
H09:    0.354
H10:    0.38 
H11:    0.512
H12:    0.456

