Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 10:13:16 PM
ID1: P0000000028  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.309
A02:    0.51 
A03:    0.426
A04:    0.313
A05:    0.487
A06:    0.537
A07:    0.503
A08:    0.398
A09:    0.463
A10:    0.213
A11:    0.254
A12:    0.185
B01:    0.248
B02:    0.48 
B03:    0.538
B04:    0.463
B05:    0.494
B06:    0.356
B07:    0.283
B08:    0.465
B09:    0.5  
B10:    0.474
B11:    0.488
B12:    0.294
C01:    0.495
C02:    0.232
C03:    0.356
C04:    0.39 
C05:    0.205
C06:    0.559
C07:    0.188
C08:    0.322
C09:    0.361
C10:    0.512
C11:    0.242
C12:    0.478
D01:    0.494
D02:    0.142
D03:    0.279
D04:    0.404
D05:    0.444
D06:    0.517
D07:    0.497
D08:    0.163
D09:    0.446
D10:    0.475
D11:    0.275
D12:    0.576
E01:    0.402
E02:    0.45 
E03:    0.439
E04:    0.393
E05:    0.456
E06:    0.487
E07:    0.422
E08:    0.368
E09:    0.468
E10:    0.446
E11:    0.482
E12:    0.548
F01:    0.313
F02:    0.426
F03:    0.429
F04:    0.42 
F05:    0.486
F06:    0.506
F07:    0.294
F08:    0.346
F09:    0.423
F10:    0.357
F11:    0.663
F12:    0.429
G01:    0.494
G02:    0.436
G03:    0.213
G04:    0.446
G05:    0.325
G06:    0.431
G07:    0.706
G08:    0.158
G09:    0.497
G10:    0.57 
G11:    0.462
G12:    0.532
H01:    0.161
H02:    0.36 
H03:    0.074
H04:    0.427
H05:    0.38 
H06:    0.401
H07:    0.352
H08:    0.32 
H09:    0.543
H10:    0.365
H11:    0.177
H12:    0.113

