Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 10:39:28 PM
ID1: P0000000010  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.154
A02:    0.585
A03:    0.217
A04:    0.489
A05:    0.41 
A06:    0.487
A07:    0.583
A08:    0.324
A09:    0.222
A10:    0.486
A11:    0.52 
A12:    0.185
B01:    0.517
B02:    0.596
B03:    0.476
B04:    0.591
B05:    0.599
B06:    0.267
B07:    0.278
B08:    0.218
B09:    0.194
B10:    0.63 
B11:    1.171
B12:    0.182
C01:    0.296
C02:    0.616
C03:    0.448
C04:    0.369
C05:    0.226
C06:    0.361
C07:    0.584
C08:    0.471
C09:    0.286
C10:    0.596
C11:    0.298
C12:    0.475
D01:    0.544
D02:    0.262
D03:    0.588
D04:    0.539
D05:    0.302
D06:    0.245
D07:    0.292
D08:    0.289
D09:    0.444
D10:    0.866
D11:    0.324
D12:    0.184
E01:    0.129
E02:    0.615
E03:    0.599
E04:    0.325
E05:    0.48 
E06:    0.443
E07:    0.586
E08:    0.471
E09:    0.497
E10:    0.428
E11:    0.303
E12:    0.325
F01:    0.233
F02:    0.422
F03:    0.544
F04:    0.561
F05:    0.45 
F06:    0.454
F07:    0.555
F08:    0.443
F09:    0.529
F10:    0.292
F11:    0.319
F12:    0.398
G01:    0.396
G02:    0.742
G03:    0.572
G04:    0.466
G05:    0.245
G06:    0.839
G07:    0.342
G08:    0.445
G09:    0.266
G10:    0.551
G11:    0.452
G12:    0.41 
H01:    0.591
H02:    0.675
H03:    0.247
H04:    0.359
H05:    0.587
H06:    0.163
H07:    0.248
H08:    0.295
H09:    0.34 
H10:    0.287
H11:    0.477
H12:    0.554

