Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 11:16:14 AM
ID1: P0000000005  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.311
A02:    0.331
A03:    0.33 
A04:    0.361
A05:    0.273
A06:    0.389
A07:    0.35 
A08:    0.45 
A09:    0.213
A10:    0.262
A11:    0.385
A12:    0.388
B01:    0.375
B02:    0.359
B03:    0.268
B04:    0.315
B05:    0.385
B06:    0.387
B07:    0.252
B08:    0.366
B09:    0.194
B10:    0.183
B11:    0.413
B12:    0.422
C01:    0.326
C02:    0.379
C03:    0.337
C04:    0.247
C05:    0.297
C06:    0.164
C07:    0.168
C08:    0.309
C09:    0.162
C10:    0.277
C11:    0.344
C12:    0.364
D01:    0.274
D02:    0.351
D03:    0.457
D04:    0.3  
D05:    0.157
D06:    0.37 
D07:    0.405
D08:    0.373
D09:    0.417
D10:    0.155
D11:    0.289
D12:    0.321
E01:    0.191
E02:    0.211
E03:    0.446
E04:    0.419
E05:    0.393
E06:    0.399
E07:    0.401
E08:    0.227
E09:    0.262
E10:    0.154
E11:    0.367
E12:    0.177
F01:    0.141
F02:    0.211
F03:    0.27 
F04:    0.328
F05:    0.36 
F06:    0.199
F07:    0.297
F08:    0.259
F09:    0.412
F10:    0.23 
F11:    0.33 
F12:    0.153
G01:    0.324
G02:    0.143
G03:    0.145
G04:    0.144
G05:    0.201
G06:    0.146
G07:    0.445
G08:    0.283
G09:    0.419
G10:    0.257
G11:    0.15 
G12:    0.146
H01:    0.311
H02:    0.321
H03:    0.379
H04:    0.152
H05:    0.335
H06:    0.146
H07:    0.311
H08:    0.344
H09:    0.162
H10:    0.386
H11:    0.153
H12:    0.484

