Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 2:21:37 PM
ID1: P0000000005  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.31 
A02:    0.329
A03:    0.333
A04:    0.359
A05:    0.272
A06:    0.383
A07:    0.347
A08:    0.447
A09:    0.208
A10:    0.258
A11:    0.388
A12:    0.406
B01:    0.363
B02:    0.356
B03:    0.259
B04:    0.295
B05:    0.378
B06:    0.37 
B07:    0.247
B08:    0.356
B09:    0.193
B10:    0.179
B11:    0.405
B12:    0.444
C01:    0.32 
C02:    0.373
C03:    0.337
C04:    0.244
C05:    0.296
C06:    0.161
C07:    0.188
C08:    0.305
C09:    0.161
C10:    0.206
C11:    0.344
C12:    0.364
D01:    0.271
D02:    0.361
D03:    0.453
D04:    0.293
D05:    0.162
D06:    0.358
D07:    0.402
D08:    0.354
D09:    0.435
D10:    0.153
D11:    0.261
D12:    0.303
E01:    0.197
E02:    0.194
E03:    0.431
E04:    0.416
E05:    0.389
E06:    0.399
E07:    0.403
E08:    0.231
E09:    0.262
E10:    0.152
E11:    0.352
E12:    0.188
F01:    0.142
F02:    0.204
F03:    0.287
F04:    0.328
F05:    0.347
F06:    0.2  
F07:    0.293
F08:    0.265
F09:    0.398
F10:    0.261
F11:    0.324
F12:    0.154
G01:    0.329
G02:    0.141
G03:    0.137
G04:    0.143
G05:    0.204
G06:    0.148
G07:    0.463
G08:    0.285
G09:    0.415
G10:    0.263
G11:    0.148
G12:    0.144
H01:    0.323
H02:    0.32 
H03:    0.385
H04:    0.148
H05:    0.333
H06:    0.149
H07:    0.322
H08:    0.344
H09:    0.174
H10:    0.389
H11:    0.156
H12:    0.487

