Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 4:55:50 PM
ID1: P0000000027  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.382
A02:    0.477
A03:    0.459
A04:    0.389
A05:    0.522
A06:    0.598
A07:    0.535
A08:    0.43 
A09:    0.414
A10:    0.318
A11:    0.224
A12:    0.175
B01:    0.244
B02:    0.493
B03:    0.507
B04:    0.496
B05:    0.54 
B06:    0.308
B07:    0.187
B08:    0.511
B09:    0.491
B10:    0.476
B11:    0.474
B12:    0.263
C01:    0.42 
C02:    0.157
C03:    0.249
C04:    0.262
C05:    0.154
C06:    0.627
C07:    0.188
C08:    0.347
C09:    0.355
C10:    0.318
C11:    0.178
C12:    0.492
D01:    0.543
D02:    0.151
D03:    0.573
D04:    0.417
D05:    0.48 
D06:    0.485
D07:    0.467
D08:    0.163
D09:    0.573
D10:    0.522
D11:    0.284
D12:    0.512
E01:    0.397
E02:    0.492
E03:    0.358
E04:    0.391
E05:    0.465
E06:    0.512
E07:    0.285
E08:    0.48 
E09:    0.462
E10:    0.443
E11:    0.478
E12:    0.534
F01:    0.269
F02:    0.473
F03:    0.412
F04:    0.535
F05:    0.412
F06:    0.275
F07:    0.346
F08:    0.414
F09:    0.463
F10:    0.352
F11:    0.439
F12:    0.428
G01:    0.491
G02:    0.339
G03:    0.14 
G04:    0.502
G05:    0.35 
G06:    0.344
G07:    0.659
G08:    0.147
G09:    0.54 
G10:    0.574
G11:    0.486
G12:    0.528
H01:    0.266
H02:    0.323
H03:    0.25 
H04:    0.412
H05:    0.203
H06:    0.296
H07:    0.332
H08:    0.249
H09:    0.5  
H10:    0.277
H11:    0.268
H12:    0.148

